	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
0	14	94	2	1	1.239800e-06	0.000000e+00	1.000000e+10
1	14	94	3	1	6.552750e+00	2.487000e-05	1.544000e+04
2	14	94	4	1	6.585224e+00	0.000000e+00	1.290000e-02
3	14	94	4	3	3.244870e-02	0.000000e+00	2.418000e-04
4	14	94	5	1	1.027600e+01	1.749000e+00	2.670000e+09
5	14	94	6	1	1.515216e+01	0.000000e+00	1.823000e+04
6	14	94	6	3	8.599391e+00	2.652000e-04	1.702000e+05
7	14	94	6	4	8.566947e+00	1.570000e-04	1.000000e+05
8	14	94	6	5	4.876168e+00	1.178000e-01	2.430000e+07
9	14	94	7	3	9.528494e+00	5.764000e-01	2.270000e+09
10	14	94	7	5	5.805259e+00	3.376000e-05	4.937000e+04
11	14	94	8	2	9.560973e+00	5.781000e-01	7.640000e+08
12	14	94	8	3	9.545073e+00	4.335000e-01	5.710000e+08
13	14	94	8	4	9.512630e+00	7.223000e-01	9.450000e+08
14	14	94	9	3	9.577147e+00	7.214000e-01	5.740000e+08
15	14	94	9	4	9.544706e+00	2.164000e+00	1.710000e+09
16	14	94	10	2	1.118590e+01	8.734000e-01	1.580000e+09
17	14	94	10	3	1.116997e+01	6.548000e-01	1.182000e+09
18	14	94	10	4	1.113756e+01	4.364000e-02	7.830000e+07
19	14	94	11	3	1.116967e+01	1.963000e+00	2.126000e+09
20	14	94	11	4	1.113726e+01	6.544000e-01	7.045000e+08
21	14	94	12	4	1.113696e+01	3.662000e+00	2.815000e+09
22	14	94	13	3	1.247128e+01	1.271000e-05	8.579000e+04
23	14	94	13	5	8.748051e+00	9.893000e-01	3.285000e+09
24	14	94	14	1	2.055157e+01	0.000000e+00	7.697000e+04
25	14	94	14	3	1.399881e+01	8.751000e-05	1.489000e+05
26	14	94	14	5	1.027558e+01	4.990000e+00	4.572000e+09
27	14	94	15	2	1.247889e+01	1.122000e-01	2.529000e+08
28	14	94	15	3	1.246294e+01	3.382000e-01	7.599000e+08
29	14	94	15	4	1.243049e+01	5.687000e-01	1.271000e+09
30	14	94	16	3	1.316871e+01	1.807000e-05	1.359000e+05
31	14	94	16	5	9.445448e+00	7.339000e-02	2.840000e+08
32	14	94	17	4	1.513984e+01	0.000000e+00	1.765000e+04
33	14	94	17	8	5.627218e+00	3.547000e-04	4.874000e+05
34	14	94	17	10	4.002299e+00	2.684000e-01	1.865000e+08
35	14	94	17	15	2.709341e+00	4.211000e-01	1.341000e+08
36	14	94	18	1	2.172915e+01	3.142000e-05	2.146000e+05
37	14	94	18	3	1.517639e+01	0.000000e+00	4.382000e+03
38	14	94	18	4	1.514393e+01	0.000000e+00	1.322000e+04
39	14	94	18	6	6.576979e+00	3.516000e-04	2.200000e+05
40	14	94	18	7	5.647854e+00	3.331000e-04	1.537000e+05
41	14	94	18	8	5.631308e+00	2.754000e-04	1.263000e+05
42	14	94	18	9	5.599238e+00	4.422000e-04	2.005000e+05
43	14	94	18	10	4.006398e+00	2.012000e-01	4.671000e+07
44	14	94	18	11	4.006696e+00	6.036000e-01	1.401000e+08
45	14	94	18	13	2.705097e+00	3.489000e-04	3.692000e+04
46	14	94	18	14	1.177566e+00	3.252000e-04	6.520000e+03
47	14	94	18	15	2.713433e+00	1.264000e+00	1.346000e+08
48	14	94	18	16	2.007666e+00	3.145000e-04	1.833000e+04
49	14	94	19	2	1.520140e+01	0.000000e+00	3.496000e+03
50	14	94	19	3	1.518546e+01	0.000000e+00	7.887000e+03
51	14	94	19	4	1.515300e+01	0.000000e+00	6.166000e+03
52	14	94	19	8	5.640403e+00	3.677000e-04	1.015000e+05
53	14	94	19	9	5.608331e+00	1.243000e-03	3.395000e+05
54	14	94	19	10	4.015468e+00	1.343000e-02	1.879000e+06
55	14	94	19	11	4.015768e+00	2.014000e-01	2.819000e+07
56	14	94	19	12	4.016028e+00	1.128000e+00	1.579000e+08
57	14	94	19	15	2.722507e+00	2.115000e+00	1.360000e+08
58	14	94	20	1	2.188090e+01	1.910000e-02	1.323000e+08
59	14	94	20	5	1.160492e+01	0.000000e+00	1.094000e+04
60	14	94	20	6	6.728718e+00	5.018000e-01	3.286000e+08
61	14	94	20	9	5.751024e+00	1.643000e-04	7.861000e+04
62	14	94	20	10	4.158156e+00	1.506000e-04	3.768000e+04
63	14	94	20	11	4.158463e+00	4.288000e-04	1.073000e+05
64	14	94	20	13	2.856860e+00	4.865000e-01	5.742000e+07
65	14	94	20	14	1.329338e+00	4.749000e-01	1.214000e+07
66	14	94	20	15	2.865198e+00	9.604000e-04	1.140000e+05
67	14	94	20	16	2.159430e+00	4.306000e-01	2.904000e+07
68	14	94	22	2	9.327696e+01	1.570000e-02	1.970000e+09
69	14	94	22	3	9.325731e+01	3.410000e-02	4.290000e+09
70	14	94	22	4	9.321594e+01	2.870000e-02	3.610000e+09
71	14	94	22	5	8.886754e+01	6.920000e-04	7.900000e+07
72	14	94	22	6	8.473673e+01	2.730000e-09	2.830000e+02
73	14	94	22	8	8.330925e+01	1.700000e-09	1.700000e+02
74	14	94	22	9	8.326785e+01	4.110000e-09	4.130000e+02
75	14	94	23	4	9.403324e+01	2.640000e-01	1.450000e+10
76	14	94	23	8	8.412667e+01	2.890000e-07	1.270000e+04
77	14	94	23	9	8.408502e+01	5.720000e-07	2.510000e+04
78	14	94	24	1	1.005588e+02	5.850000e-06	5.140000e+05
79	14	94	24	3	9.419255e+01	1.570000e-01	1.210000e+10
80	14	94	24	4	9.415106e+01	9.190000e-03	7.070000e+08
81	14	94	24	5	8.980284e+01	2.880000e-02	2.020000e+09
82	14	94	24	6	8.567184e+01	4.400000e-08	2.800000e+03
83	14	94	24	7	8.426619e+01	2.340000e-07	1.440000e+04
84	14	94	24	8	8.424443e+01	9.640000e-08	5.940000e+03
85	14	94	24	9	8.420324e+01	1.930000e-07	1.190000e+04
86	14	94	24	13	7.964079e+01	5.780000e-08	3.180000e+03
87	14	94	25	2	9.441850e+01	7.950000e-02	1.020000e+10
88	14	94	25	3	9.439838e+01	1.370000e-02	1.760000e+09
89	14	94	25	4	9.435743e+01	1.950000e-03	2.510000e+08
90	14	94	25	5	9.000885e+01	1.920000e-02	2.240000e+09
91	14	94	25	6	8.587776e+01	8.580000e-08	9.160000e+03
92	14	94	25	8	8.445044e+01	2.800000e-07	2.890000e+04
93	14	94	25	9	8.440904e+01	8.860000e-09	9.140000e+02
94	14	94	26	1	1.009881e+02	1.530000e-05	1.360000e+06
95	14	94	26	3	9.462244e+01	4.080000e-02	3.170000e+09
96	14	94	26	4	9.458130e+01	1.060000e-01	8.240000e+09
97	14	94	26	5	9.023290e+01	7.790000e-02	5.500000e+09
98	14	94	26	6	8.610141e+01	1.130000e-07	7.260000e+03
