	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	log Density/cm-3	Temperature (eV)	Rate
10362	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e-04	4.679941e-09
10363	14	103	1	102	47	12	0	2	0.000000e+00	1.084859e-03	4.155468e-09
10364	14	103	1	102	47	12	0	2	0.000000e+00	1.365757e-03	3.688329e-09
10365	14	103	1	102	47	12	0	2	0.000000e+00	1.719385e-03	3.272202e-09
10366	14	103	1	102	47	12	0	2	0.000000e+00	2.164578e-03	2.901551e-09
10367	14	103	1	102	47	12	0	2	0.000000e+00	2.725042e-03	2.571518e-09
10368	14	103	1	102	47	12	0	2	0.000000e+00	3.430625e-03	2.277719e-09
10369	14	103	1	102	47	12	0	2	0.000000e+00	4.318901e-03	2.016228e-09
10370	14	103	1	102	47	12	0	2	0.000000e+00	5.437173e-03	1.783488e-09
10371	14	103	1	102	47	12	0	2	0.000000e+00	6.844996e-03	1.576486e-09
10372	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e-03	1.392386e-09
10373	14	103	1	102	47	12	0	2	0.000000e+00	1.084859e-02	1.228768e-09
10374	14	103	1	102	47	12	0	2	0.000000e+00	1.365757e-02	1.083403e-09
10375	14	103	1	102	47	12	0	2	0.000000e+00	1.719385e-02	9.543103e-10
10376	14	103	1	102	47	12	0	2	0.000000e+00	2.164578e-02	8.397509e-10
10377	14	103	1	102	47	12	0	2	0.000000e+00	2.725042e-02	7.381766e-10
10378	14	103	1	102	47	12	0	2	0.000000e+00	3.430624e-02	6.481863e-10
10379	14	103	1	102	47	12	0	2	0.000000e+00	4.318901e-02	5.685122e-10
10380	14	103	1	102	47	12	0	2	0.000000e+00	5.437173e-02	4.980471e-10
10381	14	103	1	102	47	12	0	2	0.000000e+00	6.844998e-02	4.357825e-10
10382	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e-02	3.808377e-10
10383	14	103	1	102	47	12	0	2	0.000000e+00	1.084859e-01	3.324071e-10
10384	14	103	1	102	47	12	0	2	0.000000e+00	1.365757e-01	2.897610e-10
10385	14	103	1	102	47	12	0	2	0.000000e+00	1.719385e-01	2.522669e-10
10386	14	103	1	102	47	12	0	2	0.000000e+00	2.164578e-01	2.193362e-10
10387	14	103	1	102	47	12	0	2	0.000000e+00	2.725042e-01	1.904451e-10
10388	14	103	1	102	47	12	0	2	0.000000e+00	3.430624e-01	1.651202e-10
10389	14	103	1	102	47	12	0	2	0.000000e+00	4.318901e-01	1.430705e-10
10390	14	103	1	102	47	12	0	2	0.000000e+00	5.437173e-01	1.244371e-10
10391	14	103	1	102	47	12	0	2	0.000000e+00	6.844998e-01	1.099741e-10
10392	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e-01	1.004916e-10
10393	14	103	1	102	47	12	0	2	0.000000e+00	1.084859e+00	9.576355e-11
10394	14	103	1	102	47	12	0	2	0.000000e+00	1.365756e+00	9.408064e-11
10395	14	103	1	102	47	12	0	2	0.000000e+00	1.719386e+00	9.291794e-11
10396	14	103	1	102	47	12	0	2	0.000000e+00	2.164578e+00	9.053166e-11
10397	14	103	1	102	47	12	0	2	0.000000e+00	2.725042e+00	8.695601e-11
10398	14	103	1	102	47	12	0	2	0.000000e+00	3.430624e+00	8.381076e-11
10399	14	103	1	102	47	12	0	2	0.000000e+00	4.318899e+00	8.281335e-11
10400	14	103	1	102	47	12	0	2	0.000000e+00	5.437176e+00	8.410076e-11
10401	14	103	1	102	47	12	0	2	0.000000e+00	6.844998e+00	8.611912e-11
10402	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e+00	8.673612e-11
10403	14	103	1	102	47	12	0	2	0.000000e+00	1.084859e+01	8.458638e-11
10404	14	103	1	102	47	12	0	2	0.000000e+00	1.365756e+01	7.930483e-11
10405	14	103	1	102	47	12	0	2	0.000000e+00	1.719386e+01	7.143318e-11
10406	14	103	1	102	47	12	0	2	0.000000e+00	2.164578e+01	6.190138e-11
10407	14	103	1	102	47	12	0	2	0.000000e+00	2.725042e+01	5.174872e-11
10408	14	103	1	102	47	12	0	2	0.000000e+00	3.430624e+01	4.193722e-11
10409	14	103	1	102	47	12	0	2	0.000000e+00	4.318899e+01	3.323531e-11
10410	14	103	1	102	47	12	0	2	0.000000e+00	5.437176e+01	2.608555e-11
10411	14	103	1	102	47	12	0	2	0.000000e+00	6.844998e+01	2.056838e-11
10412	14	103	1	102	47	12	0	2	0.000000e+00	8.617340e+01	1.645508e-11
