	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature (eV)	Rate
6533	14	99	1	98	11	12	0	2	8.617340e-04	2.057167e-09
6534	14	99	1	98	11	12	0	2	1.084859e-03	1.817023e-09
6535	14	99	1	98	11	12	0	2	1.365757e-03	1.603650e-09
6536	14	99	1	98	11	12	0	2	1.719385e-03	1.414166e-09
6537	14	99	1	98	11	12	0	2	2.164578e-03	1.245976e-09
6538	14	99	1	98	11	12	0	2	2.725042e-03	1.096806e-09
6539	14	99	1	98	11	12	0	2	3.430625e-03	9.646065e-10
6540	14	99	1	98	11	12	0	2	4.318901e-03	8.475000e-10
6541	14	99	1	98	11	12	0	2	5.437173e-03	7.438751e-10
6542	14	99	1	98	11	12	0	2	6.844996e-03	6.522743e-10
6543	14	99	1	98	11	12	0	2	8.617340e-03	5.713732e-10
6544	14	99	1	98	11	12	0	2	1.084859e-02	4.999998e-10
6545	14	99	1	98	11	12	0	2	1.365757e-02	4.370888e-10
6546	14	99	1	98	11	12	0	2	1.719385e-02	3.817244e-10
6547	14	99	1	98	11	12	0	2	2.164578e-02	3.331884e-10
6548	14	99	1	98	11	12	0	2	2.725042e-02	2.914675e-10
6549	14	99	1	98	11	12	0	2	3.430624e-02	2.581663e-10
6550	14	99	1	98	11	12	0	2	4.318901e-02	2.364614e-10
6551	14	99	1	98	11	12	0	2	5.437173e-02	2.286283e-10
6552	14	99	1	98	11	12	0	2	6.844998e-02	2.327767e-10
6553	14	99	1	98	11	12	0	2	8.617340e-02	2.424151e-10
6554	14	99	1	98	11	12	0	2	1.084859e-01	2.495227e-10
6555	14	99	1	98	11	12	0	2	1.365757e-01	2.482732e-10
6556	14	99	1	98	11	12	0	2	1.719385e-01	2.368153e-10
6557	14	99	1	98	11	12	0	2	2.164578e-01	2.167154e-10
6558	14	99	1	98	11	12	0	2	2.725042e-01	1.913947e-10
6559	14	99	1	98	11	12	0	2	3.430624e-01	1.647327e-10
6560	14	99	1	98	11	12	0	2	4.318901e-01	1.400297e-10
6561	14	99	1	98	11	12	0	2	5.437173e-01	1.192614e-10
6562	14	99	1	98	11	12	0	2	6.844998e-01	1.027779e-10
6563	14	99	1	98	11	12	0	2	8.617340e-01	8.968084e-11
6564	14	99	1	98	11	12	0	2	1.084859e+00	7.866828e-11
6565	14	99	1	98	11	12	0	2	1.365756e+00	6.877022e-11
6566	14	99	1	98	11	12	0	2	1.719386e+00	5.966225e-11
6567	14	99	1	98	11	12	0	2	2.164578e+00	5.160596e-11
6568	14	99	1	98	11	12	0	2	2.725042e+00	4.495724e-11
