	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22742	14	101	44	2	-4.143200e+01	3.002000e-03	2.916000e+09
22743	14	101	44	11	-5.235100e+01	1.155000e-02	7.025000e+09
22744	14	101	44	12	-5.467000e+01	1.804000e-02	1.007000e+10
22745	14	101	44	13	-5.466800e+01	2.595000e-02	1.448000e+10
22746	14	101	44	14	-5.704200e+01	2.501000e-02	1.282000e+10
22747	14	101	44	15	-5.706100e+01	1.099000e-01	5.626000e+10
22748	14	101	45	2	4.100000e+01	4.053000e-05	4.034000e+07
22749	14	101	45	11	5.163500e+01	2.017000e+00	1.267000e+12
22750	14	101	45	13	5.346000e+01	1.143000e-03	6.757000e+08
22751	14	101	45	14	5.557900e+01	1.310000e-04	7.186000e+07
22752	14	101	46	1	-4.044200e+01	2.953000e-02	3.010000e+10
22753	14	101	46	2	-4.055500e+01	5.578000e-03	5.656000e+09
22754	14	101	46	11	-5.095900e+01	8.195000e-05	5.262000e+07
22755	14	101	46	12	-5.315300e+01	6.511000e-01	3.843000e+11
22756	14	101	46	13	-5.315100e+01	1.071000e-01	6.321000e+10
22757	14	101	46	14	-5.539300e+01	4.960000e-01	2.695000e+11
22758	14	101	46	15	-5.541000e+01	1.224000e-01	6.648000e+10
22759	14	101	47	1	-4.013600e+01	1.486000e-02	1.538000e+10
22760	14	101	47	2	-4.024700e+01	2.877000e-03	2.961000e+09
22761	14	101	47	11	-5.047400e+01	2.684000e-04	1.756000e+08
22762	14	101	47	12	-5.262500e+01	5.946000e-01	3.580000e+11
22763	14	101	47	13	-5.262300e+01	6.653000e-02	4.006000e+10
22764	14	101	47	14	-5.482000e+01	7.412000e-01	4.113000e+11
22765	14	101	47	15	-5.483700e+01	1.053000e-01	5.839000e+10
22766	14	101	48	1	-3.981300e+01	2.962000e-03	3.116000e+09
22767	14	101	48	2	-3.992300e+01	2.057000e-02	2.152000e+10
22768	14	101	48	11	-4.996400e+01	9.755000e-04	6.516000e+08
22769	14	101	48	12	-5.207100e+01	2.923000e-02	1.797000e+10
22770	14	101	48	13	-5.206900e+01	3.078000e-01	1.893000e+11
22771	14	101	48	14	-5.421900e+01	1.433000e-01	8.129000e+10
22772	14	101	48	15	-5.423600e+01	9.199000e-01	5.215000e+11
22773	14	101	49	1	-3.837600e+01	3.557000e-03	4.028000e+09
22774	14	101	49	2	-3.847800e+01	7.877000e-04	8.871000e+08
22775	14	101	49	12	-4.964100e+01	2.338000e-02	1.582000e+10
22776	14	101	49	13	-4.963900e+01	3.354000e-03	2.270000e+09
22777	14	101	49	14	-5.158900e+01	8.930000e-01	5.595000e+11
22778	14	101	49	15	-5.160500e+01	1.785000e-01	1.118000e+11
22779	14	101	50	2	5.069100e+01	2.011000e+00	8.745000e+11
22780	14	101	50	13	7.121100e+01	1.116000e-04	2.492000e+07
22781	14	101	51	2	-4.869500e+01	2.914000e-05	1.366000e+07
22782	14	101	51	11	-6.450800e+01	1.515000e-05	4.048000e+06
22783	14	101	51	12	-6.806400e+01	1.710000e-07	4.103000e+04
22784	14	101	51	13	-6.806100e+01	3.087000e-06	7.407000e+05
22785	14	101	51	15	-7.181100e+01	5.474000e-07	1.180000e+05
