	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3759	14	101	5	60	3	1	4	6	3.029480e+02	4.010000e+02	2s0.2p2.3d1.4P_5/2
3760	14	101	5	61	3	2	2	6	3.064720e+02	4.010000e+02	2s0.2p2.3d1.2D_5/2
3761	14	101	5	62	3	2	2	6	3.089920e+02	4.010000e+02	2s0.2p2.3d1.2D_5/2#2
3762	14	101	5	63	3	3	2	6	3.097460e+02	4.010000e+02	2s0.2p2.3d1.2F_5/2#2
3763	14	101	5	64	3	2	2	6	3.228310e+02	4.010000e+02	2s0.2p2.3d1.2D_5/2#3
3764	14	101	5	65	3	2	4	8	2.558450e+02	4.010000e+02	2s1.2p1.3p1.4D_7/2
3765	14	101	5	66	3	3	4	8	2.982180e+02	4.010000e+02	2s0.2p2.3d1.4F_7/2
3766	14	101	5	67	3	2	4	8	3.000450e+02	4.010000e+02	2s0.2p2.3d1.4D_7/2
3767	14	101	5	68	3	3	2	8	3.015460e+02	4.010000e+02	2s0.2p2.3d1.2F_7/2
3768	14	101	5	69	3	4	2	8	3.068270e+02	4.010000e+02	2s0.2p2.3d1.2G_7/2
3769	14	101	5	70	3	3	2	8	3.095470e+02	4.010000e+02	2s0.2p2.3d1.2F_7/2#2
3770	14	101	5	71	3	3	4	10	2.985470e+02	4.010000e+02	2s0.2p2.3d1.4F_9/2
3771	14	101	5	72	3	4	2	10	3.068880e+02	4.010000e+02	2s0.2p2.3d1.2G_9/2
3772	14	101	5	73	3	1	2	2	2.344180e+02	4.010000e+02	2p0.3p1.2P_1/2
3773	14	101	5	74	3	1	4	2	2.469760e+02	4.010000e+02	2s1.2p1.3s1.4P_1/2
3774	14	101	5	75	3	1	2	2	2.517140e+02	4.010000e+02	2s1.2p1.3s1.2P_1/2
3775	14	101	5	76	3	2	4	2	2.665660e+02	4.010000e+02	2s1.2p1.3d1.4D_1/2
3776	14	101	5	77	3	1	4	2	2.666930e+02	4.010000e+02	2s1.2p1.3d1.4P_1/2
3777	14	101	5	78	3	1	2	2	2.675230e+02	4.010000e+02	2s1.2p1.3s1.2P_1/2#2
3778	14	101	5	79	3	1	2	2	2.728730e+02	4.010000e+02	2s1.2p1.3d1.2P_1/2
3779	14	101	5	80	3	1	2	2	2.885920e+02	4.010000e+02	2s1.2p1.3d1.2P_1/2#2
3780	14	101	5	81	3	0	2	2	2.888940e+02	4.010000e+02	2s0.2p2.3p1.2S_1/2
3781	14	101	5	82	3	2	4	2	2.901830e+02	4.010000e+02	2s0.2p2.3p1.4D_1/2
3782	14	101	5	83	3	1	4	2	2.916510e+02	4.010000e+02	2s0.2p2.3p1.4P_1/2
3783	14	101	5	84	3	1	2	2	2.956420e+02	4.010000e+02	2s0.2p2.3p1.2P_1/2
3784	14	101	5	85	3	1	2	2	3.041120e+02	4.010000e+02	2s0.2p2.3p1.2P_1/2#2
3785	14	101	5	86	3	1	2	2	3.147290e+02	4.010000e+02	2s0.2p2.3p1.2P_1/2#3
3786	14	101	5	87	3	1	2	4	2.346650e+02	4.010000e+02	2p0.3p1.2P_3/2
3787	14	101	5	88	3	1	4	4	2.472620e+02	4.010000e+02	2s1.2p1.3s1.4P_3/2
3788	14	101	5	89	3	1	2	4	2.523090e+02	4.010000e+02	2s1.2p1.3s1.2P_3/2
3789	14	101	5	90	3	3	4	4	2.630430e+02	4.010000e+02	2s1.2p1.3d1.4F_3/2
3790	14	101	5	91	3	2	4	4	2.653310e+02	4.010000e+02	2s1.2p1.3d1.4D_3/2
3791	14	101	5	92	3	2	2	4	2.669130e+02	4.010000e+02	2s1.2p1.3d1.2D_3/2
3792	14	101	5	93	3	1	4	4	2.679540e+02	4.010000e+02	2s1.2p1.3d1.4P_3/2
3793	14	101	5	94	3	1	2	4	2.674870e+02	4.010000e+02	2s1.2p1.3s1.2P_3/2#2
3794	14	101	5	95	3	1	2	4	2.725530e+02	4.010000e+02	2s1.2p1.3d1.2P_3/2
3795	14	101	5	96	3	2	2	4	2.863490e+02	4.010000e+02	2s1.2p1.3d1.2D_3/2#2
3796	14	101	5	97	3	1	2	4	2.886550e+02	4.010000e+02	2s1.2p1.3d1.2P_3/2#2
3797	14	101	5	98	3	2	4	4	2.903740e+02	4.010000e+02	2s0.2p2.3p1.4D_3/2
3798	14	101	5	99	3	1	4	4	2.917620e+02	4.010000e+02	2s0.2p2.3p1.4P_3/2
3799	14	101	5	100	3	2	2	4	2.930280e+02	4.010000e+02	2s0.2p2.3p1.2D_3/2
3800	14	101	5	101	3	0	4	4	2.950830e+02	4.010000e+02	2s0.2p2.3p1.4S_3/2
3801	14	101	5	102	3	1	2	4	2.955850e+02	4.010000e+02	2s0.2p2.3p1.2P_3/2
3802	14	101	5	103	3	2	2	4	3.017240e+02	4.010000e+02	2s0.2p2.3p1.2D_3/2#2
3803	14	101	5	104	3	1	2	4	3.044560e+02	4.010000e+02	2s0.2p2.3p1.2P_3/2#2
3804	14	101	5	105	3	1	2	4	3.148210e+02	4.010000e+02	2s0.2p2.3p1.2P_3/2#3
3805	14	101	5	106	3	1	4	6	2.478130e+02	4.010000e+02	2s1.2p1.3s1.4P_5/2
3806	14	101	5	107	3	3	4	6	2.632200e+02	4.010000e+02	2s1.2p1.3d1.4F_5/2
3807	14	101	5	108	3	2	4	6	2.666230e+02	4.010000e+02	2s1.2p1.3d1.4D_5/2
3808	14	101	5	109	3	2	2	6	2.670100e+02	4.010000e+02	2s1.2p1.3d1.2D_5/2
3809	14	101	5	110	3	1	4	6	2.678080e+02	4.010000e+02	2s1.2p1.3d1.4P_5/2
3810	14	101	5	111	3	3	2	6	2.712370e+02	4.010000e+02	2s1.2p1.3d1.2F_5/2
3811	14	101	5	112	3	3	2	6	2.850320e+02	4.010000e+02	2s1.2p1.3d1.2F_5/2#2
3812	14	101	5	113	3	2	2	6	2.864560e+02	4.010000e+02	2s1.2p1.3d1.2D_5/2#2
3813	14	101	5	114	3	2	4	6	2.906920e+02	4.010000e+02	2s0.2p2.3p1.4D_5/2
3814	14	101	5	115	3	1	4	6	2.920370e+02	4.010000e+02	2s0.2p2.3p1.4P_5/2
3815	14	101	5	116	3	2	2	6	2.936280e+02	4.010000e+02	2s0.2p2.3p1.2D_5/2
3816	14	101	5	117	3	3	2	6	2.992680e+02	4.010000e+02	2s0.2p2.3p1.2F_5/2
3817	14	101	5	118	3	2	2	6	3.016820e+02	4.010000e+02	2s0.2p2.3p1.2D_5/2#2
3818	14	101	5	119	3	3	4	8	2.634840e+02	4.010000e+02	2s1.2p1.3d1.4F_7/2
3819	14	101	5	120	3	2	4	8	2.669290e+02	4.010000e+02	2s1.2p1.3d1.4D_7/2
3820	14	101	5	121	3	3	2	8	2.718070e+02	4.010000e+02	2s1.2p1.3d1.2F_7/2
3821	14	101	5	122	3	3	2	8	2.858450e+02	4.010000e+02	2s1.2p1.3d1.2F_7/2#2
3822	14	101	5	123	3	2	4	8	2.911230e+02	4.010000e+02	2s0.2p2.3p1.4D_7/2
3823	14	101	5	124	3	3	2	8	2.994330e+02	4.010000e+02	2s0.2p2.3p1.2F_7/2
3824	14	101	5	125	3	3	4	10	2.638590e+02	4.010000e+02	2s1.2p1.3d1.4F_9/2
3825	14	101	5	127	2	1	4	2	1.794400e+03	4.010000e+02	1s1.2s2.2p2.4P_1/2
3826	14	101	5	128	2	1	4	4	1.794790e+03	4.010000e+02	1s1.2s2.2p2.4P_3/2
3827	14	101	5	129	2	1	4	6	1.795370e+03	4.010000e+02	1s1.2s2.2p2.4P_5/2
3828	14	101	5	130	2	0	6	6	1.798240e+03	4.010000e+02	1s1.2s1.2p3.6S_5/2
3829	14	101	5	131	2	2	2	4	1.806680e+03	4.010000e+02	1s1.2s2.2p2.2D_3/2
3830	14	101	5	132	2	2	2	6	1.806770e+03	4.010000e+02	1s1.2s2.2p2.2D_5/2
3831	14	101	5	133	2	1	2	2	1.808950e+03	4.010000e+02	1s1.2s2.2p2.2P_1/2
3832	14	101	5	134	2	1	2	4	1.809810e+03	4.010000e+02	1s1.2s2.2p2.2P_3/2
3833	14	101	5	135	2	0	2	2	1.813580e+03	4.010000e+02	1s1.2s2.2p2.2S_1/2
3834	14	101	5	136	2	0	4	4	1.823010e+03	4.010000e+02	1s1.2s1.2p3.4S_3/2
3835	14	101	5	137	2	2	4	6	1.823010e+03	4.010000e+02	1s1.2s1.2p3.4D_5/2
3836	14	101	5	138	2	2	4	2	1.823030e+03	4.010000e+02	1s1.2s1.2p3.4D_1/2
3837	14	101	5	139	2	2	4	8	1.823060e+03	4.010000e+02	1s1.2s1.2p3.4D_7/2
3838	14	101	5	140	2	2	4	4	1.824200e+03	4.010000e+02	1s1.2s1.2p3.4D_3/2
3839	14	101	5	141	2	1	4	4	1.829960e+03	4.010000e+02	1s1.2s1.2p3.4P_3/2
