	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	log Density/cm-3	Temperature (eV)	Rate
9957	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e-04	1.432783e-09
9958	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e-03	1.265465e-09
9959	14	98	1	97	4	12	0	2	0.000000e+00	1.365757e-03	1.116761e-09
9960	14	98	1	97	4	12	0	2	0.000000e+00	1.719385e-03	9.846921e-10
9961	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e-03	8.674412e-10
9962	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e-03	7.635011e-10
9963	14	98	1	97	4	12	0	2	0.000000e+00	3.430625e-03	6.719387e-10
9964	14	98	1	97	4	12	0	2	0.000000e+00	4.318901e-03	5.931034e-10
9965	14	98	1	97	4	12	0	2	0.000000e+00	5.437173e-03	5.288708e-10
9966	14	98	1	97	4	12	0	2	0.000000e+00	6.844996e-03	4.809504e-10
9967	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e-03	4.479818e-10
9968	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e-02	4.246590e-10
9969	14	98	1	97	4	12	0	2	0.000000e+00	1.365757e-02	4.038501e-10
9970	14	98	1	97	4	12	0	2	0.000000e+00	1.719385e-02	3.798572e-10
9971	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e-02	3.502032e-10
9972	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e-02	3.154787e-10
9973	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e-02	2.780160e-10
9974	14	98	1	97	4	12	0	2	0.000000e+00	4.318901e-02	2.406521e-10
9975	14	98	1	97	4	12	0	2	0.000000e+00	5.437173e-02	2.059396e-10
9976	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e-02	1.756588e-10
9977	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e-02	1.504840e-10
9978	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e-01	1.299691e-10
9979	14	98	1	97	4	12	0	2	0.000000e+00	1.365757e-01	1.130055e-10
9980	14	98	1	97	4	12	0	2	0.000000e+00	1.719385e-01	9.842381e-11
9981	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e-01	8.540837e-11
9982	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e-01	7.363762e-11
9983	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e-01	6.313928e-11
9984	14	98	1	97	4	12	0	2	0.000000e+00	4.318901e-01	5.405048e-11
9985	14	98	1	97	4	12	0	2	0.000000e+00	5.437173e-01	4.636601e-11
9986	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e-01	3.992088e-11
9987	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e-01	3.443497e-11
9988	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e+00	2.964149e-11
9989	14	98	1	97	4	12	0	2	0.000000e+00	1.365756e+00	2.540385e-11
9990	14	98	1	97	4	12	0	2	0.000000e+00	1.719386e+00	2.171699e-11
9991	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e+00	1.864663e-11
9992	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e+00	1.624052e-11
9993	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e+00	1.440787e-11
9994	14	98	1	97	4	12	0	2	0.000000e+00	4.318899e+00	1.299272e-11
9995	14	98	1	97	4	12	0	2	0.000000e+00	5.437176e+00	1.190968e-11
9996	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e+00	1.133184e-11
9997	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e+00	1.164663e-11
9998	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e+01	1.308882e-11
9999	14	98	1	97	4	12	0	2	0.000000e+00	1.365756e+01	1.538862e-11
10000	14	98	1	97	4	12	0	2	0.000000e+00	1.719386e+01	1.785663e-11
10001	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e+01	1.984266e-11
10002	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e+01	2.109598e-11
10003	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e+01	2.171699e-11
10004	14	98	1	97	4	12	0	2	0.000000e+00	4.318899e+01	2.185246e-11
10005	14	98	1	97	4	12	0	2	0.000000e+00	5.437176e+01	2.150307e-11
10006	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e+01	2.058261e-11
10007	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e+01	1.905460e-11
10008	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e+02	1.701374e-11
10009	14	98	1	97	4	12	0	2	0.000000e+00	1.365756e+02	1.466560e-11
10010	14	98	1	97	4	12	0	2	0.000000e+00	1.719386e+02	1.223488e-11
10011	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e+02	9.924309e-12
10012	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e+02	7.857781e-12
10013	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e+02	6.096772e-12
10014	14	98	1	97	4	12	0	2	0.000000e+00	4.318899e+02	4.654790e-12
10015	14	98	1	97	4	12	0	2	0.000000e+00	5.437176e+02	3.505902e-12
10016	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e+02	2.612763e-12
10017	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e+02	1.930188e-12
10018	14	98	1	97	4	12	0	2	0.000000e+00	1.084859e+03	1.416447e-12
10019	14	98	1	97	4	12	0	2	0.000000e+00	1.365756e+03	1.033712e-12
10020	14	98	1	97	4	12	0	2	0.000000e+00	1.719386e+03	7.511039e-13
10021	14	98	1	97	4	12	0	2	0.000000e+00	2.164578e+03	5.440020e-13
10022	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e+03	3.928259e-13
10023	14	98	1	97	4	12	0	2	0.000000e+00	3.430624e+03	2.830737e-13
10024	14	98	1	97	4	12	0	2	0.000000e+00	4.318899e+03	2.036103e-13
10025	14	98	1	97	4	12	0	2	0.000000e+00	5.437176e+03	1.462514e-13
10026	14	98	1	97	4	12	0	2	0.000000e+00	6.844998e+03	1.049300e-13
10027	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e+03	7.517953e-14
10028	14	98	1	97	4	12	0	2	0.000000e+00	1.084860e+04	5.382697e-14
10029	14	98	1	97	4	12	0	2	0.000000e+00	1.365756e+04	3.851234e-14
10030	14	98	1	97	4	12	0	2	0.000000e+00	1.719386e+04	2.752962e-14
10031	14	98	1	97	4	12	0	2	0.000000e+00	2.164576e+04	1.966528e-14
10032	14	98	1	97	4	12	0	2	0.000000e+00	2.725042e+04	1.403782e-14
10033	14	98	1	97	4	12	0	2	0.000000e+00	3.430628e+04	1.001382e-14
10034	14	98	1	97	4	12	0	2	0.000000e+00	4.318899e+04	7.140024e-15
10035	14	98	1	97	4	12	0	2	0.000000e+00	5.437176e+04	5.088622e-15
10036	14	98	1	97	4	12	0	2	0.000000e+00	6.844990e+04	3.624101e-15
10037	14	98	1	97	4	12	0	2	0.000000e+00	8.617340e+04	2.579884e-15
