	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	log Density/cm-3	Temperature (eV)	Rate
9522	14	0	1	105	32	12	0	2	2.000000e+00	8.617340e-02	4.442221e-10
9523	14	0	1	105	32	12	0	2	2.000000e+00	1.689170e+01	9.484190e-12
9524	14	0	1	105	32	12	0	2	2.000000e+00	1.689170e+02	1.042317e-12
9525	14	0	1	105	32	12	0	2	2.000000e+00	1.689170e+03	6.807696e-14
9526	14	0	1	105	32	12	0	2	2.000000e+00	8.617340e+03	7.447315e-15
9527	14	0	1	105	32	12	0	2	1.000000e+01	8.617340e-02	4.442221e-10
9528	14	0	1	105	32	12	0	2	1.000000e+01	1.689170e+01	9.484190e-12
9529	14	0	1	105	32	12	0	2	1.000000e+01	1.689170e+02	1.042317e-12
9530	14	0	1	105	32	12	0	2	1.000000e+01	1.689170e+03	6.807696e-14
9531	14	0	1	105	32	12	0	2	1.000000e+01	8.617340e+03	7.447315e-15
9532	14	0	1	105	32	12	0	2	1.200000e+01	8.617340e-02	4.442221e-10
9533	14	0	1	105	32	12	0	2	1.200000e+01	1.689170e+01	9.484190e-12
9534	14	0	1	105	32	12	0	2	1.200000e+01	1.689170e+02	1.042317e-12
9535	14	0	1	105	32	12	0	2	1.200000e+01	1.689170e+03	6.807696e-14
9536	14	0	1	105	32	12	0	2	1.200000e+01	8.617340e+03	7.447315e-15
9537	14	0	1	105	32	12	0	2	1.400000e+01	8.617340e-02	9.484190e-12
9538	14	0	1	105	32	12	0	2	1.400000e+01	1.689170e+01	9.484190e-12
9539	14	0	1	105	32	12	0	2	1.400000e+01	1.689170e+02	1.042317e-12
9540	14	0	1	105	32	12	0	2	1.400000e+01	1.689170e+03	6.807696e-14
9541	14	0	1	105	32	12	0	2	1.400000e+01	8.617340e+03	7.447315e-15
9542	14	0	1	105	32	12	0	2	1.600000e+01	8.617340e-02	9.638295e-13
9543	14	0	1	105	32	12	0	2	1.600000e+01	1.689170e+01	8.790230e-12
9544	14	0	1	105	32	12	0	2	1.600000e+01	1.689170e+02	1.035143e-12
9545	14	0	1	105	32	12	0	2	1.600000e+01	1.689170e+03	6.807696e-14
9546	14	0	1	105	32	12	0	2	1.600000e+01	8.617340e+03	7.447315e-15
9547	14	0	1	105	32	12	0	2	1.800000e+01	8.617340e-02	5.116814e-14
9548	14	0	1	105	32	12	0	2	1.800000e+01	1.689170e+01	7.128525e-12
9549	14	0	1	105	32	12	0	2	1.800000e+01	1.689170e+02	5.584699e-13
9550	14	0	1	105	32	12	0	2	1.800000e+01	1.689170e+03	4.436090e-14
9551	14	0	1	105	32	12	0	2	1.800000e+01	8.617340e+03	7.447315e-15
