	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	log Density/cm-3	Temperature (eV)	Rate
10119	14	100	1	99	14	12	0	2	0.000000e+00	8.617340e-04	2.934268e-09
10120	14	100	1	99	14	12	0	2	0.000000e+00	1.084859e-03	2.583688e-09
10121	14	100	1	99	14	12	0	2	0.000000e+00	1.365757e-03	2.273002e-09
10122	14	100	1	99	14	12	0	2	0.000000e+00	1.719385e-03	1.997929e-09
10123	14	100	1	99	14	12	0	2	0.000000e+00	2.164578e-03	1.754606e-09
10124	14	100	1	99	14	12	0	2	0.000000e+00	2.725042e-03	1.539572e-09
10125	14	100	1	99	14	12	0	2	0.000000e+00	3.430625e-03	1.349677e-09
10126	14	100	1	99	14	12	0	2	0.000000e+00	4.318901e-03	1.182171e-09
10127	14	100	1	99	14	12	0	2	0.000000e+00	5.437173e-03	1.034713e-09
10128	14	100	1	99	14	12	0	2	0.000000e+00	6.844996e-03	9.079246e-10
10129	14	100	1	99	14	12	0	2	0.000000e+00	8.617340e-03	8.208805e-10
10130	14	100	1	99	14	12	0	2	0.000000e+00	1.084859e-02	8.545358e-10
10131	14	100	1	99	14	12	0	2	0.000000e+00	1.365757e-02	1.185140e-09
10132	14	100	1	99	14	12	0	2	0.000000e+00	1.719385e-02	2.008632e-09
10133	14	100	1	99	14	12	0	2	0.000000e+00	2.164578e-02	3.358844e-09
10134	14	100	1	99	14	12	0	2	0.000000e+00	2.725042e-02	5.002184e-09
10135	14	100	1	99	14	12	0	2	0.000000e+00	3.430624e-02	6.534312e-09
10136	14	100	1	99	14	12	0	2	0.000000e+00	4.318901e-02	7.590660e-09
10137	14	100	1	99	14	12	0	2	0.000000e+00	5.437173e-02	7.995759e-09
10138	14	100	1	99	14	12	0	2	0.000000e+00	6.844998e-02	7.783404e-09
10139	14	100	1	99	14	12	0	2	0.000000e+00	8.617340e-02	7.123940e-09
10140	14	100	1	99	14	12	0	2	0.000000e+00	1.084859e-01	6.231038e-09
10141	14	100	1	99	14	12	0	2	0.000000e+00	1.365757e-01	5.286641e-09
10142	14	100	1	99	14	12	0	2	0.000000e+00	1.719385e-01	4.403828e-09
10143	14	100	1	99	14	12	0	2	0.000000e+00	2.164578e-01	3.628943e-09
10144	14	100	1	99	14	12	0	2	0.000000e+00	2.725042e-01	2.966200e-09
10145	14	100	1	99	14	12	0	2	0.000000e+00	3.430624e-01	2.403036e-09
10146	14	100	1	99	14	12	0	2	0.000000e+00	4.318901e-01	1.925929e-09
10147	14	100	1	99	14	12	0	2	0.000000e+00	5.437173e-01	1.525317e-09
10148	14	100	1	99	14	12	0	2	0.000000e+00	6.844998e-01	1.194567e-09
10149	14	100	1	99	14	12	0	2	0.000000e+00	8.617340e-01	9.274712e-10
10150	14	100	1	99	14	12	0	2	0.000000e+00	1.084859e+00	7.163408e-10
10151	14	100	1	99	14	12	0	2	0.000000e+00	1.365756e+00	5.520139e-10
10152	14	100	1	99	14	12	0	2	0.000000e+00	1.719386e+00	4.250014e-10
