	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature (eV)	Rate
6371	14	97	1	96	28	12	0	2	8.617340e-04	9.191786e-10
6372	14	97	1	96	28	12	0	2	1.084859e-03	8.115782e-10
6373	14	97	1	96	28	12	0	2	1.365757e-03	7.159461e-10
6374	14	97	1	96	28	12	0	2	1.719385e-03	6.309715e-10
6375	14	97	1	96	28	12	0	2	2.164578e-03	5.555331e-10
6376	14	97	1	96	28	12	0	2	2.725042e-03	4.885956e-10
6377	14	97	1	96	28	12	0	2	3.430625e-03	4.292502e-10
6378	14	97	1	96	28	12	0	2	4.318901e-03	3.766949e-10
6379	14	97	1	96	28	12	0	2	5.437173e-03	3.303239e-10
6380	14	97	1	96	28	12	0	2	6.844996e-03	2.898342e-10
6381	14	97	1	96	28	12	0	2	8.617340e-03	2.552290e-10
6382	14	97	1	96	28	12	0	2	1.084859e-02	2.263966e-10
6383	14	97	1	96	28	12	0	2	1.365757e-02	2.026562e-10
6384	14	97	1	96	28	12	0	2	1.719385e-02	1.826459e-10
6385	14	97	1	96	28	12	0	2	2.164578e-02	1.648199e-10
6386	14	97	1	96	28	12	0	2	2.725042e-02	1.480369e-10
6387	14	97	1	96	28	12	0	2	3.430624e-02	1.318589e-10
6388	14	97	1	96	28	12	0	2	4.318901e-02	1.164581e-10
6389	14	97	1	96	28	12	0	2	5.437173e-02	1.022727e-10
6390	14	97	1	96	28	12	0	2	6.844998e-02	8.959836e-11
6391	14	97	1	96	28	12	0	2	8.617340e-02	7.843317e-11
6392	14	97	1	96	28	12	0	2	1.084859e-01	6.850149e-11
6393	14	97	1	96	28	12	0	2	1.365757e-01	5.952510e-11
6394	14	97	1	96	28	12	0	2	1.719385e-01	5.134519e-11
6395	14	97	1	96	28	12	0	2	2.164578e-01	4.392383e-11
6396	14	97	1	96	28	12	0	2	2.725042e-01	3.726487e-11
6397	14	97	1	96	28	12	0	2	3.430624e-01	3.136895e-11
6398	14	97	1	96	28	12	0	2	4.318901e-01	2.624217e-11
6399	14	97	1	96	28	12	0	2	5.437173e-01	2.183232e-11
6400	14	97	1	96	28	12	0	2	6.844998e-01	1.809255e-11
6401	14	97	1	96	28	12	0	2	8.617340e-01	1.494857e-11
6402	14	97	1	96	28	12	0	2	1.084859e+00	1.231970e-11
6403	14	97	1	96	28	12	0	2	1.365756e+00	1.013445e-11
6404	14	97	1	96	28	12	0	2	1.719386e+00	8.321476e-12
6405	14	97	1	96	28	12	0	2	2.164578e+00	6.829677e-12
6406	14	97	1	96	28	12	0	2	2.725042e+00	5.620821e-12
6407	14	97	1	96	28	12	0	2	3.430624e+00	4.658001e-12
