	Z	Ion	Initial Level	Final Level	Temperature	Rate
17338	14	104	50	26	1.690052e+05	6.491400e+00
17339	14	104	50	26	3.372098e+05	6.707300e+00
17340	14	104	50	26	6.728216e+05	6.889800e+00
17341	14	104	50	26	1.342456e+06	7.035500e+00
17342	14	104	50	26	2.678550e+06	7.145900e+00
17343	14	104	50	26	5.344413e+06	7.309200e+00
17344	14	104	50	26	7.549186e+06	7.541900e+00
17345	14	104	50	26	1.066351e+07	7.787300e+00
17346	14	104	50	26	1.506260e+07	7.993700e+00
17347	14	104	50	26	2.127649e+07	8.136600e+00
17348	14	104	50	26	3.005384e+07	8.242300e+00
17349	14	104	50	26	4.245219e+07	8.307200e+00
17350	14	104	50	26	5.996533e+07	8.351600e+00
17351	14	104	50	26	8.470320e+07	8.394000e+00
17352	14	104	50	26	1.196465e+08	8.412800e+00
17353	14	104	50	26	1.690050e+08	8.431100e+00
17354	14	104	50	6	1.690052e+05	5.262400e+00
17355	14	104	50	6	3.372098e+05	5.535400e+00
17356	14	104	50	6	6.728216e+05	5.796000e+00
17357	14	104	50	6	1.342456e+06	6.038800e+00
17358	14	104	50	6	2.678550e+06	6.260100e+00
17359	14	104	50	6	5.344413e+06	6.747600e+00
17360	14	104	50	6	7.549186e+06	7.220400e+00
17361	14	104	50	6	1.066351e+07	7.571900e+00
17362	14	104	50	6	1.506260e+07	7.824500e+00
17363	14	104	50	6	2.127649e+07	7.987100e+00
17364	14	104	50	6	3.005384e+07	8.103000e+00
17365	14	104	50	6	4.245219e+07	8.173200e+00
17366	14	104	50	6	5.996533e+07	8.220700e+00
17367	14	104	50	6	8.470320e+07	8.266100e+00
17368	14	104	50	6	1.196465e+08	8.286600e+00
17369	14	104	50	6	1.690050e+08	8.306600e+00
17370	14	104	50	36	1.690052e+05	4.185700e+00
17371	14	104	50	36	3.372098e+05	4.458500e+00
17372	14	104	50	36	6.728216e+05	4.719100e+00
17373	14	104	50	36	1.342456e+06	4.961800e+00
17374	14	104	50	36	2.678550e+06	5.182900e+00
17375	14	104	50	36	5.344413e+06	5.671500e+00
17376	14	104	50	36	7.549186e+06	6.145200e+00
17377	14	104	50	36	1.066351e+07	6.497100e+00
17378	14	104	50	36	1.506260e+07	6.749800e+00
17379	14	104	50	36	2.127649e+07	6.912500e+00
17380	14	104	50	36	3.005384e+07	7.028400e+00
17381	14	104	50	36	4.245219e+07	7.098600e+00
17382	14	104	50	36	5.996533e+07	7.146200e+00
17383	14	104	50	36	8.470320e+07	7.191600e+00
17384	14	104	50	36	1.196465e+08	7.212000e+00
17385	14	104	50	36	1.690050e+08	7.232100e+00
17386	14	104	50	31	1.690052e+05	5.975100e+00
17387	14	104	50	31	3.372098e+05	6.232800e+00
17388	14	104	50	31	6.728216e+05	6.470900e+00
17389	14	104	50	31	1.342456e+06	6.684500e+00
17390	14	104	50	31	2.678550e+06	6.868800e+00
17391	14	104	50	31	5.344413e+06	7.181200e+00
17392	14	104	50	31	7.549186e+06	7.537100e+00
17393	14	104	50	31	1.066351e+07	7.844900e+00
17394	14	104	50	31	1.506260e+07	8.079300e+00
17395	14	104	50	31	2.127649e+07	8.234000e+00
17396	14	104	50	31	3.005384e+07	8.345500e+00
17397	14	104	50	31	4.245219e+07	8.413800e+00
17398	14	104	50	31	5.996533e+07	8.460400e+00
17399	14	104	50	31	8.470320e+07	8.505000e+00
17400	14	104	50	31	1.196465e+08	8.524300e+00
17401	14	104	50	31	1.690050e+08	8.543100e+00
17402	14	104	50	16	1.690052e+05	6.707600e+00
17403	14	104	50	16	3.372098e+05	6.923300e+00
17404	14	104	50	16	6.728216e+05	7.105700e+00
17405	14	104	50	16	1.342456e+06	7.251200e+00
17406	14	104	50	16	2.678550e+06	7.361400e+00
17407	14	104	50	16	5.344413e+06	7.523700e+00
17408	14	104	50	16	7.549186e+06	7.755000e+00
17409	14	104	50	16	1.066351e+07	7.999600e+00
17410	14	104	50	16	1.506260e+07	8.205500e+00
17411	14	104	50	16	2.127649e+07	8.348200e+00
17412	14	104	50	16	3.005384e+07	8.453700e+00
17413	14	104	50	16	4.245219e+07	8.518600e+00
17414	14	104	50	16	5.996533e+07	8.562900e+00
