	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
6155	32	104	50	105	1	12	0	1	0.000000e+00	4.360000e+00
6156	32	104	50	105	1	12	0	1	3.281540e+01	3.138000e+00
6157	32	104	50	105	1	12	0	1	7.101930e+01	2.257200e+00
6158	32	104	50	105	1	12	0	1	1.152090e+02	1.626400e+00
6159	32	104	50	105	1	12	0	1	1.667390e+02	1.170400e+00
6160	32	104	50	105	1	12	0	1	2.268550e+02	8.416000e-01
6161	32	104	50	105	1	12	0	1	2.962460e+02	6.064000e-01
6162	32	104	50	105	1	12	0	1	3.764570e+02	4.380000e-01
6163	32	104	50	105	1	12	0	1	4.703040e+02	3.153600e-01
6164	32	104	50	105	1	12	0	1	5.796070e+02	2.270000e-01
6165	32	104	50	105	1	12	0	1	7.070700e+02	1.632400e-01
6166	32	104	50	105	1	12	0	1	8.538340e+02	1.177200e-01
6167	32	104	50	105	1	12	0	1	1.024100e+03	8.496000e-02
6168	32	104	50	105	1	12	0	1	1.224140e+03	6.104000e-02
6169	32	104	50	105	1	12	0	1	1.453390e+03	4.408000e-02
6170	32	104	50	105	1	12	0	1	1.719740e+03	3.178800e-02
6171	32	104	50	105	1	12	0	1	2.028020e+03	2.294000e-02
6172	32	104	50	105	1	12	0	1	2.383500e+03	1.657200e-02
6173	32	104	50	105	1	12	0	1	2.801240e+03	1.191600e-02
6174	32	104	50	105	1	12	0	1	3.281110e+03	8.584000e-03
6175	32	104	50	105	1	12	0	1	3.843160e+03	6.160000e-03
6176	32	104	50	105	1	12	0	1	4.486330e+03	4.432000e-03
6177	32	104	50	105	1	12	0	1	5.237100e+03	3.176400e-03
6178	32	104	50	105	1	12	0	1	6.092940e+03	2.284400e-03
6179	32	104	50	105	1	12	0	1	7.088630e+03	1.636000e-03
6180	32	104	50	105	1	12	0	1	8.219270e+03	1.176000e-03
6181	32	104	50	105	1	12	0	1	9.530300e+03	8.416000e-04
6182	32	104	50	105	1	12	0	1	1.101320e+04	6.048000e-04
6183	32	104	50	105	1	12	0	1	1.272690e+04	4.324000e-04
6184	32	104	50	105	1	12	0	1	1.465790e+04	3.104400e-04
6185	32	104	50	105	1	12	0	1	1.470720e+04	3.080000e-04
6186	32	104	51	105	1	12	0	3	0.000000e+00	1.453330e+00
6187	32	104	51	105	1	12	0	3	3.281540e+01	1.046000e+00
6188	32	104	51	105	1	12	0	3	7.101930e+01	7.524000e-01
6189	32	104	51	105	1	12	0	3	1.152090e+02	5.421330e-01
6190	32	104	51	105	1	12	0	3	1.667390e+02	3.901330e-01
6191	32	104	51	105	1	12	0	3	2.268550e+02	2.805330e-01
6192	32	104	51	105	1	12	0	3	2.962460e+02	2.021330e-01
6193	32	104	51	105	1	12	0	3	3.764570e+02	1.460000e-01
6194	32	104	51	105	1	12	0	3	4.703040e+02	1.051200e-01
6195	32	104	51	105	1	12	0	3	5.796070e+02	7.566670e-02
6196	32	104	51	105	1	12	0	3	7.070700e+02	5.441330e-02
6197	32	104	51	105	1	12	0	3	8.538340e+02	3.924000e-02
6198	32	104	51	105	1	12	0	3	1.024100e+03	2.832000e-02
6199	32	104	51	105	1	12	0	3	1.224140e+03	2.034670e-02
6200	32	104	51	105	1	12	0	3	1.453390e+03	1.469330e-02
6201	32	104	51	105	1	12	0	3	1.719740e+03	1.059600e-02
6202	32	104	51	105	1	12	0	3	2.028020e+03	7.646670e-03
6203	32	104	51	105	1	12	0	3	2.383500e+03	5.524000e-03
6204	32	104	51	105	1	12	0	3	2.801240e+03	3.972000e-03
6205	32	104	51	105	1	12	0	3	3.281110e+03	2.861330e-03
6206	32	104	51	105	1	12	0	3	3.843160e+03	2.053330e-03
6207	32	104	51	105	1	12	0	3	4.486330e+03	1.477330e-03
6208	32	104	51	105	1	12	0	3	5.237100e+03	1.058800e-03
6209	32	104	51	105	1	12	0	3	6.092940e+03	7.614670e-04
6210	32	104	51	105	1	12	0	3	7.088630e+03	5.453330e-04
6211	32	104	51	105	1	12	0	3	8.219270e+03	3.920000e-04
6212	32	104	51	105	1	12	0	3	9.530300e+03	2.805330e-04
6213	32	104	51	105	1	12	0	3	1.101320e+04	2.016000e-04
6214	32	104	51	105	1	12	0	3	1.272690e+04	1.441330e-04
6215	32	104	51	105	1	12	0	3	1.465790e+04	1.034800e-04
6216	32	104	51	105	1	12	0	3	1.470720e+04	1.026670e-04
