	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
21937	14	99	26	9	7.065000e+00	1.390000e-04	4.660000e+09
21938	14	99	26	10	7.065100e+00	1.760000e-04	5.890000e+09
21939	14	99	26	11	7.101800e+00	1.370000e-06	4.530000e+07
21940	14	99	26	12	7.117900e+00	1.210000e-05	3.970000e+08
21941	14	99	26	13	7.120000e+00	1.930000e-08	6.350000e+05
21942	14	99	27	7	7.003000e+00	3.300000e-01	2.250000e+13
21943	14	99	27	8	7.004000e+00	6.610000e-02	4.510000e+12
21944	14	99	27	9	7.063800e+00	5.420000e-05	3.630000e+09
21945	14	99	27	11	7.100500e+00	5.480000e-09	3.640000e+05
21946	14	99	27	12	7.116600e+00	5.520000e-06	3.640000e+08
21947	14	99	27	13	7.118700e+00	1.040000e-05	6.840000e+08
21948	14	99	28	6	6.944000e+00	1.270000e-04	4.410000e+09
21949	14	99	28	7	6.945600e+00	1.380000e-04	4.780000e+09
21950	14	99	28	8	6.946500e+00	4.440000e-07	1.540000e+07
21951	14	99	28	9	7.005300e+00	1.290000e-01	4.380000e+12
21952	14	99	28	10	7.005400e+00	1.120000e+00	3.800000e+13
21953	14	99	28	11	7.041500e+00	2.480000e-01	8.360000e+12
21954	14	99	28	12	7.057300e+00	6.840000e-02	2.290000e+12
21955	14	99	28	13	7.059400e+00	5.770000e-03	1.930000e+11
21956	14	99	29	7	6.944200e+00	9.619999e-07	6.660000e+07
21957	14	99	29	8	6.945100e+00	2.790000e-05	1.930000e+09
21958	14	99	29	9	7.003900e+00	6.410000e-01	4.370000e+13
21959	14	99	29	11	7.040100e+00	1.150000e-01	7.730000e+12
21960	14	99	29	12	7.055900e+00	1.400000e-02	9.370000e+11
21961	14	99	29	13	7.057900e+00	2.930000e-02	1.960000e+12
21962	14	99	30	6	6.905500e+00	2.040000e-07	7.160000e+06
21963	14	99	30	7	6.907100e+00	3.880000e-07	1.360000e+07
21964	14	99	30	8	6.908000e+00	8.200000e-06	2.880000e+08
21965	14	99	30	9	6.966200e+00	1.020000e-02	3.510000e+11
21966	14	99	30	10	6.966200e+00	1.290000e-01	4.440000e+12
21967	14	99	30	11	7.001900e+00	1.840000e-02	6.280000e+11
21968	14	99	30	12	7.017500e+00	6.000000e-01	2.040000e+13
21969	14	99	30	13	7.019600e+00	1.290000e-01	4.370000e+12
21970	14	99	31	7	6.906100e+00	2.190000e-07	1.540000e+07
21971	14	99	31	8	6.907000e+00	3.080000e-06	2.160000e+08
21972	14	99	31	9	6.965100e+00	5.120000e-02	3.520000e+12
21973	14	99	31	11	7.000900e+00	2.000000e-02	1.360000e+12
21974	14	99	31	12	7.016500e+00	1.200000e-01	8.170000e+12
21975	14	99	31	13	7.018500e+00	2.380000e-01	1.610000e+13
21976	14	99	32	1	6.618700e+00	4.020000e-08	3.060000e+06
21977	14	99	32	2	6.650700e+00	1.220000e-06	9.180000e+07
21978	14	99	32	4	6.665700e+00	5.370000e-05	4.040000e+09
21979	14	99	32	5	6.666000e+00	1.140000e-04	8.580000e+09
21980	14	99	32	15	7.007800e+00	4.010000e-01	2.730000e+13
21981	14	99	32	16	7.010600e+00	2.000000e-01	1.360000e+13
