	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
23682	14	105	28	22	2.469472e+01	0.000000e+00	1.501310e+09
23683	14	105	28	23	2.467612e+01	0.000000e+00	1.501310e+09
23684	14	105	29	8	2.145351e+02	0.000000e+00	8.244380e+10
23685	14	105	29	9	2.143627e+02	0.000000e+00	8.244380e+10
23686	14	105	29	13	8.478794e+01	0.000000e+00	4.944180e+10
23687	14	105	29	14	8.471517e+01	0.000000e+00	4.944180e+10
23688	14	105	29	20	2.473191e+01	0.000000e+00	2.778520e+10
23689	14	105	29	21	2.469472e+01	0.000000e+00	2.778520e+10
23690	14	105	29	24	2.467612e+01	0.000000e+00	4.369090e+08
23691	14	105	29	25	2.466496e+01	0.000000e+00	4.369090e+08
23692	14	105	30	15	8.471530e+01	0.000000e+00	5.273790e+10
23693	14	105	30	16	8.467897e+01	0.000000e+00	5.273790e+10
23694	14	105	30	22	2.469472e+01	0.000000e+00	4.247730e+10
23695	14	105	30	23	2.467612e+01	0.000000e+00	4.247730e+10
23696	14	105	31	24	2.467612e+01	0.000000e+00	6.318930e+10
23697	14	105	31	25	2.466496e+01	0.000000e+00	6.318930e+10
