	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
20350	14	93	2	1	3.561845e-02	0.000000e+00	2.132000e-04
20351	14	93	3	1	5.309363e+00	0.000000e+00	5.575000e+03
20352	14	93	3	2	5.273748e+00	0.000000e+00	4.600000e+03
20353	14	93	4	1	5.322789e+00	0.000000e+00	6.344000e+00
20354	14	93	4	2	5.287174e+00	0.000000e+00	1.328000e+03
20355	14	93	5	2	5.308908e+00	0.000000e+00	1.813000e+03
20356	14	93	6	1	6.857263e+00	1.866000e-03	9.514000e+05
20357	14	93	6	2	6.821646e+00	1.860000e-04	9.385000e+04
20358	14	93	7	2	6.823598e+00	1.671000e-03	5.624000e+05
20359	14	93	8	1	8.120784e+00	1.304000e-01	1.865000e+08
20360	14	93	8	2	8.085142e+00	1.298000e-01	1.840000e+08
20361	14	93	9	1	9.504972e+00	8.845000e-02	1.733000e+08
20362	14	93	9	2	9.469326e+00	8.811000e-02	1.713000e+08
20363	14	93	10	1	9.836403e+00	1.166000e+00	1.223000e+09
20364	14	93	10	2	9.800791e+00	1.162000e-01	1.210000e+08
20365	14	93	11	2	9.802805e+00	1.046000e+00	7.266000e+08
20366	14	93	12	2	1.003050e+01	0.000000e+00	5.188000e+03
20367	14	93	12	4	4.743322e+00	0.000000e+00	1.527000e+03
20368	14	93	12	6	3.208858e+00	2.994000e-01	6.691000e+07
20369	14	93	12	8	1.945355e+00	7.875000e-01	6.466000e+07
20370	14	93	12	9	5.611326e-01	7.524000e-03	5.140000e+04
20371	14	93	12	10	2.297100e-01	9.523000e-02	1.090000e+05
20372	14	93	13	1	1.007353e+01	0.000000e+00	2.573000e+03
20373	14	93	13	2	1.003797e+01	0.000000e+00	2.594000e+03
20374	14	93	13	5	4.729029e+00	2.998000e-05	7.270000e+03
20375	14	93	13	6	3.216300e+00	5.988000e-02	6.721000e+06
20376	14	93	13	7	3.214324e+00	5.386000e-01	6.037000e+07
20377	14	93	13	8	1.952795e+00	1.579000e+00	6.533000e+07
20378	14	93	13	9	5.685747e-01	1.521000e-02	5.334000e+04
20379	14	93	13	10	2.371520e-01	1.965000e-02	1.199000e+04
20380	14	93	13	11	2.351116e-01	1.755000e-01	1.052000e+05
20381	14	93	14	1	1.038976e+01	5.810000e-01	1.360000e+09
20382	14	93	14	2	1.035419e+01	1.448000e-01	3.367000e+08
20383	14	93	15	1	1.041481e+01	2.912000e-01	3.425000e+08
20384	14	93	15	2	1.037924e+01	7.255000e-01	8.475000e+08
