	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
5798	14	96	28	97	1	12	0	2	0.000000e+00	7.370000e+00
5799	14	96	28	97	1	12	0	2	7.198300e-01	5.300000e+00
5800	14	96	28	97	1	12	0	2	1.553510e+00	3.816000e+00
5801	14	96	28	97	1	12	0	2	2.518620e+00	2.751000e+00
5802	14	96	28	97	1	12	0	2	3.645880e+00	1.980000e+00
5803	14	96	28	97	1	12	0	2	4.961270e+00	1.423000e+00
5804	14	96	28	97	1	12	0	2	6.478970e+00	1.026000e+00
5805	14	96	28	97	1	12	0	2	8.244700e+00	7.391000e-01
5806	14	96	28	97	1	12	0	2	1.030150e+01	5.322000e-01
5807	14	96	28	97	1	12	0	2	1.268670e+01	3.835000e-01
5808	14	96	28	97	1	12	0	2	1.545650e+01	2.764000e-01
5809	14	96	28	97	1	12	0	2	1.869540e+01	1.988000e-01
5810	14	96	28	97	1	12	0	2	2.245290e+01	1.431000e-01
5811	14	96	28	97	1	12	0	2	2.677670e+01	1.033000e-01
5812	14	96	28	97	1	12	0	2	3.181900e+01	7.442000e-02
5813	14	96	28	97	1	12	0	2	3.767730e+01	5.360000e-02
5814	14	96	28	97	1	12	0	2	4.445790e+01	3.863000e-02
5815	14	96	28	97	1	12	0	2	5.227640e+01	2.788000e-02
5816	14	96	28	97	1	12	0	2	6.146460e+01	2.002000e-02
5817	14	96	28	97	1	12	0	2	7.201920e+01	1.442000e-02
5818	14	96	28	97	1	12	0	2	8.409770e+01	1.041000e-02
5819	14	96	28	97	1	12	0	2	9.819620e+01	7.487000e-03
5820	14	96	28	97	1	12	0	2	1.142680e+02	5.402000e-03
5821	14	96	28	97	1	12	0	2	1.329660e+02	3.884000e-03
5822	14	96	28	97	1	12	0	2	1.547190e+02	2.781000e-03
5823	14	96	28	97	1	12	0	2	1.794210e+02	1.998000e-03
5824	14	96	28	97	1	12	0	2	2.080620e+02	1.430000e-03
5825	14	96	28	97	1	12	0	2	2.404610e+02	1.027000e-03
5826	14	96	28	97	1	12	0	2	2.779000e+02	7.346000e-04
5827	14	96	28	97	1	12	0	2	3.200860e+02	5.273000e-04
5828	14	96	28	97	1	12	0	2	3.686710e+02	3.768000e-04
5829	14	96	28	97	1	12	0	2	4.232010e+02	2.702000e-04
5830	14	96	28	97	1	12	0	2	4.857920e+02	1.929000e-04
5831	14	96	28	97	1	12	0	2	5.557630e+02	1.382000e-04
5832	14	96	28	97	1	12	0	2	6.358100e+02	9.859000e-05
5833	14	96	28	97	1	12	0	2	7.273830e+02	7.000000e-05
5834	14	96	28	97	1	12	0	2	8.293480e+02	4.991000e-05
5835	14	96	28	97	1	12	0	2	9.455980e+02	3.542000e-05
5836	14	96	28	97	1	12	0	2	1.074530e+03	2.525000e-05
5837	14	96	28	97	1	12	0	2	1.221030e+03	1.792000e-05
5838	14	96	28	97	1	12	0	2	1.382830e+03	1.279000e-05
5839	14	96	28	97	1	12	0	2	1.566080e+03	9.086000e-06
5840	14	96	28	97	1	12	0	2	1.773620e+03	6.430000e-06
5841	14	96	28	97	1	12	0	2	2.001910e+03	4.577000e-06
5842	14	96	28	97	1	12	0	2	2.259570e+03	3.246000e-06
5843	14	96	28	97	1	12	0	2	2.541840e+03	2.316000e-06
5844	14	96	28	97	1	12	0	2	2.859360e+03	1.647000e-06
5845	14	96	28	97	1	12	0	2	3.216550e+03	1.168000e-06
5846	14	96	28	97	1	12	0	2	3.618350e+03	8.255000e-07
5847	14	96	28	97	1	12	0	2	4.056670e+03	5.876000e-07
5848	14	96	28	97	1	12	0	2	4.548100e+03	4.171000e-07
5849	14	96	28	97	1	12	0	2	5.099050e+03	2.953000e-07
5850	14	96	28	97	1	12	0	2	5.716740e+03	2.086000e-07
5851	14	96	28	97	1	12	0	2	6.387730e+03	1.485000e-07
5852	14	96	28	97	1	12	0	2	7.137470e+03	1.054000e-07
5853	14	96	28	97	1	12	0	2	7.975190e+03	7.472000e-08
5854	14	96	28	97	1	12	0	2	8.002100e+03	7.394000e-08
