	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
5685	14	94	21	95	1	12	0	2	0.000000e+00	2.047000e+01
5686	14	94	21	95	1	12	0	2	9.295220e-02	1.474000e+01
5687	14	94	21	95	1	12	0	2	2.010710e-01	1.061000e+01
5688	14	94	21	95	1	12	0	2	3.268290e-01	7.633000e+00
5689	14	94	21	95	1	12	0	2	4.733790e-01	5.489000e+00
5690	14	94	21	95	1	12	0	2	6.435380e-01	3.950000e+00
5691	14	94	21	95	1	12	0	2	8.400000e-01	2.848000e+00
5692	14	94	21	95	1	12	0	2	1.068070e+00	2.054000e+00
5693	14	94	21	95	1	12	0	2	1.334870e+00	1.479000e+00
5694	14	94	21	95	1	12	0	2	1.641550e+00	1.068000e+00
5695	14	94	21	95	1	12	0	2	2.001600e+00	7.687000e-01
5696	14	94	21	95	1	12	0	2	2.420980e+00	5.529000e-01
5697	14	94	21	95	1	12	0	2	2.905520e+00	3.985000e-01
5698	14	94	21	95	1	12	0	2	3.472700e+00	2.865000e-01
5699	14	94	21	95	1	12	0	2	4.120030e+00	2.071000e-01
5700	14	94	21	95	1	12	0	2	4.869290e+00	1.497000e-01
5701	14	94	21	95	1	12	0	2	5.752770e+00	1.076000e-01
5702	14	94	21	95	1	12	0	2	6.771490e+00	7.753000e-02
5703	14	94	21	95	1	12	0	2	7.941690e+00	5.597000e-02
5704	14	94	21	95	1	12	0	2	9.312280e+00	4.024000e-02
5705	14	94	21	95	1	12	0	2	1.088070e+01	2.902000e-02
5706	14	94	21	95	1	12	0	2	1.271160e+01	2.085000e-02
5707	14	94	21	95	1	12	0	2	1.479870e+01	1.503000e-02
5708	14	94	21	95	1	12	0	2	1.722680e+01	1.080000e-02
5709	14	94	21	95	1	12	0	2	2.005150e+01	7.725000e-03
5710	14	94	21	95	1	12	0	2	2.325930e+01	5.548000e-03
5711	14	94	21	95	1	12	0	2	2.697860e+01	3.968000e-03
5712	14	94	21	95	1	12	0	2	3.118580e+01	2.849000e-03
5713	14	94	21	95	1	12	0	2	3.604760e+01	2.036000e-03
5714	14	94	21	95	1	12	0	2	4.152570e+01	1.461000e-03
5715	14	94	21	95	1	12	0	2	4.783490e+01	1.044000e-03
5716	14	94	21	95	1	12	0	2	5.491600e+01	7.482000e-04
5717	14	94	21	95	1	12	0	2	6.304400e+01	5.340000e-04
5718	14	94	21	95	1	12	0	2	7.213040e+01	3.826000e-04
5719	14	94	21	95	1	12	0	2	8.252500e+01	2.728000e-04
5720	14	94	21	95	1	12	0	2	9.441620e+01	1.937000e-04
5721	14	94	21	95	1	12	0	2	1.076570e+02	1.380000e-04
5722	14	94	21	95	1	12	0	2	1.227540e+02	9.796000e-05
5723	14	94	21	95	1	12	0	2	1.394960e+02	6.982000e-05
5724	14	94	21	95	1	12	0	2	1.585200e+02	4.956000e-05
5725	14	94	21	95	1	12	0	2	1.795320e+02	3.535000e-05
5726	14	94	21	95	1	12	0	2	2.033290e+02	2.511000e-05
5727	14	94	21	95	1	12	0	2	2.302790e+02	1.777000e-05
5728	14	94	21	95	1	12	0	2	2.599230e+02	1.265000e-05
5729	14	94	21	95	1	12	0	2	2.933840e+02	8.968000e-06
5730	14	94	21	95	1	12	0	2	3.300380e+02	6.399000e-06
5731	14	94	21	95	1	12	0	2	3.712710e+02	4.551000e-06
5732	14	94	21	95	1	12	0	2	4.176540e+02	3.226000e-06
5733	14	94	21	95	1	12	0	2	4.698320e+02	2.280000e-06
5734	14	94	21	95	1	12	0	2	5.267520e+02	1.623000e-06
5735	14	94	21	95	1	12	0	2	5.905670e+02	1.152000e-06
5736	14	94	21	95	1	12	0	2	6.621120e+02	8.156000e-07
5737	14	94	21	95	1	12	0	2	7.423230e+02	5.760000e-07
5738	14	94	21	95	1	12	0	2	8.294590e+02	4.099000e-07
5739	14	94	21	95	1	12	0	2	9.268200e+02	2.911000e-07
5740	14	94	21	95	1	12	0	2	1.035610e+03	2.063000e-07
