	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
20385	14	94	2	1	1.239800e-06	0.000000e+00	1.000000e+10
20386	14	94	3	1	6.552750e+00	2.487000e-05	1.544000e+04
20387	14	94	4	1	6.585224e+00	0.000000e+00	1.290000e-02
20388	14	94	4	3	3.244870e-02	0.000000e+00	2.418000e-04
20389	14	94	5	1	1.027600e+01	1.749000e+00	2.670000e+09
20390	14	94	6	1	1.515216e+01	0.000000e+00	1.823000e+04
20391	14	94	6	3	8.599391e+00	2.652000e-04	1.702000e+05
20392	14	94	6	4	8.566947e+00	1.570000e-04	1.000000e+05
20393	14	94	6	5	4.876168e+00	1.178000e-01	2.430000e+07
20394	14	94	7	3	9.528494e+00	5.764000e-01	2.270000e+09
20395	14	94	7	5	5.805259e+00	3.376000e-05	4.937000e+04
20396	14	94	8	2	9.560973e+00	5.781000e-01	7.640000e+08
20397	14	94	8	3	9.545073e+00	4.335000e-01	5.710000e+08
20398	14	94	8	4	9.512630e+00	7.223000e-01	9.450000e+08
20399	14	94	9	3	9.577147e+00	7.214000e-01	5.740000e+08
20400	14	94	9	4	9.544706e+00	2.164000e+00	1.710000e+09
20401	14	94	10	2	1.118590e+01	8.734000e-01	1.580000e+09
20402	14	94	10	3	1.116997e+01	6.548000e-01	1.182000e+09
20403	14	94	10	4	1.113756e+01	4.364000e-02	7.830000e+07
20404	14	94	11	3	1.116967e+01	1.963000e+00	2.126000e+09
20405	14	94	11	4	1.113726e+01	6.544000e-01	7.045000e+08
20406	14	94	12	4	1.113696e+01	3.662000e+00	2.815000e+09
20407	14	94	13	3	1.247128e+01	1.271000e-05	8.579000e+04
20408	14	94	13	5	8.748051e+00	9.893000e-01	3.285000e+09
20409	14	94	14	1	2.055157e+01	0.000000e+00	7.697000e+04
20410	14	94	14	3	1.399881e+01	8.751000e-05	1.489000e+05
20411	14	94	14	5	1.027558e+01	4.990000e+00	4.572000e+09
20412	14	94	15	2	1.247889e+01	1.122000e-01	2.529000e+08
20413	14	94	15	3	1.246294e+01	3.382000e-01	7.599000e+08
20414	14	94	15	4	1.243049e+01	5.687000e-01	1.271000e+09
20415	14	94	16	3	1.316871e+01	1.807000e-05	1.359000e+05
20416	14	94	16	5	9.445448e+00	7.339000e-02	2.840000e+08
20417	14	94	17	4	1.513984e+01	0.000000e+00	1.765000e+04
20418	14	94	17	8	5.627218e+00	3.547000e-04	4.874000e+05
20419	14	94	17	10	4.002299e+00	2.684000e-01	1.865000e+08
20420	14	94	17	15	2.709341e+00	4.211000e-01	1.341000e+08
20421	14	94	18	1	2.172915e+01	3.142000e-05	2.146000e+05
20422	14	94	18	3	1.517639e+01	0.000000e+00	4.382000e+03
20423	14	94	18	4	1.514393e+01	0.000000e+00	1.322000e+04
20424	14	94	18	6	6.576979e+00	3.516000e-04	2.200000e+05
20425	14	94	18	7	5.647854e+00	3.331000e-04	1.537000e+05
20426	14	94	18	8	5.631308e+00	2.754000e-04	1.263000e+05
20427	14	94	18	9	5.599238e+00	4.422000e-04	2.005000e+05
20428	14	94	18	10	4.006398e+00	2.012000e-01	4.671000e+07
20429	14	94	18	11	4.006696e+00	6.036000e-01	1.401000e+08
20430	14	94	18	13	2.705097e+00	3.489000e-04	3.692000e+04
20431	14	94	18	14	1.177566e+00	3.252000e-04	6.520000e+03
20432	14	94	18	15	2.713433e+00	1.264000e+00	1.346000e+08
20433	14	94	18	16	2.007666e+00	3.145000e-04	1.833000e+04
20434	14	94	19	2	1.520140e+01	0.000000e+00	3.496000e+03
20435	14	94	19	3	1.518546e+01	0.000000e+00	7.887000e+03
20436	14	94	19	4	1.515300e+01	0.000000e+00	6.166000e+03
20437	14	94	19	8	5.640403e+00	3.677000e-04	1.015000e+05
20438	14	94	19	9	5.608331e+00	1.243000e-03	3.395000e+05
20439	14	94	19	10	4.015468e+00	1.343000e-02	1.879000e+06
20440	14	94	19	11	4.015768e+00	2.014000e-01	2.819000e+07
20441	14	94	19	12	4.016028e+00	1.128000e+00	1.579000e+08
20442	14	94	19	15	2.722507e+00	2.115000e+00	1.360000e+08
20443	14	94	20	1	2.188090e+01	1.910000e-02	1.323000e+08
20444	14	94	20	5	1.160492e+01	0.000000e+00	1.094000e+04
20445	14	94	20	6	6.728718e+00	5.018000e-01	3.286000e+08
20446	14	94	20	9	5.751024e+00	1.643000e-04	7.861000e+04
20447	14	94	20	10	4.158156e+00	1.506000e-04	3.768000e+04
20448	14	94	20	11	4.158463e+00	4.288000e-04	1.073000e+05
20449	14	94	20	13	2.856860e+00	4.865000e-01	5.742000e+07
20450	14	94	20	14	1.329338e+00	4.749000e-01	1.214000e+07
20451	14	94	20	15	2.865198e+00	9.604000e-04	1.140000e+05
20452	14	94	20	16	2.159430e+00	4.306000e-01	2.904000e+07
20453	14	94	22	2	9.327696e+01	1.570000e-02	1.970000e+09
20454	14	94	22	3	9.325731e+01	3.410000e-02	4.290000e+09
20455	14	94	22	4	9.321594e+01	2.870000e-02	3.610000e+09
20456	14	94	22	5	8.886754e+01	6.920000e-04	7.900000e+07
20457	14	94	22	6	8.473673e+01	2.730000e-09	2.830000e+02
20458	14	94	22	8	8.330925e+01	1.700000e-09	1.700000e+02
20459	14	94	22	9	8.326785e+01	4.110000e-09	4.130000e+02
20460	14	94	23	4	9.403324e+01	2.640000e-01	1.450000e+10
20461	14	94	23	8	8.412667e+01	2.890000e-07	1.270000e+04
20462	14	94	23	9	8.408502e+01	5.720000e-07	2.510000e+04
20463	14	94	24	1	1.005588e+02	5.850000e-06	5.140000e+05
20464	14	94	24	3	9.419255e+01	1.570000e-01	1.210000e+10
20465	14	94	24	4	9.415106e+01	9.190000e-03	7.070000e+08
20466	14	94	24	5	8.980284e+01	2.880000e-02	2.020000e+09
20467	14	94	24	6	8.567184e+01	4.400000e-08	2.800000e+03
20468	14	94	24	7	8.426619e+01	2.340000e-07	1.440000e+04
20469	14	94	24	8	8.424443e+01	9.640000e-08	5.940000e+03
20470	14	94	24	9	8.420324e+01	1.930000e-07	1.190000e+04
20471	14	94	24	13	7.964079e+01	5.780000e-08	3.180000e+03
20472	14	94	25	2	9.441850e+01	7.950000e-02	1.020000e+10
20473	14	94	25	3	9.439838e+01	1.370000e-02	1.760000e+09
20474	14	94	25	4	9.435743e+01	1.950000e-03	2.510000e+08
20475	14	94	25	5	9.000885e+01	1.920000e-02	2.240000e+09
20476	14	94	25	6	8.587776e+01	8.580000e-08	9.160000e+03
20477	14	94	25	8	8.445044e+01	2.800000e-07	2.890000e+04
20478	14	94	25	9	8.440904e+01	8.860000e-09	9.140000e+02
20479	14	94	26	1	1.009881e+02	1.530000e-05	1.360000e+06
20480	14	94	26	3	9.462244e+01	4.080000e-02	3.170000e+09
20481	14	94	26	4	9.458130e+01	1.060000e-01	8.240000e+09
20482	14	94	26	5	9.023290e+01	7.790000e-02	5.500000e+09
20483	14	94	26	6	8.610141e+01	1.130000e-07	7.260000e+03
20484	14	94	26	7	8.469563e+01	6.230000e-08	3.880000e+03
20485	14	94	26	8	8.467423e+01	1.370000e-07	8.520000e+03
20486	14	94	26	9	8.463261e+01	8.820000e-08	5.480000e+03
20487	14	94	26	13	8.007026e+01	1.600000e-07	8.900000e+03
20488	14	94	27	2	9.491292e+01	1.070000e-03	1.400000e+08
20489	14	94	27	3	9.489258e+01	4.680000e-02	6.090000e+09
20490	14	94	27	4	9.485192e+01	2.580000e-02	3.350000e+09
20491	14	94	27	5	9.050362e+01	4.170000e-02	4.940000e+09
20492	14	94	27	6	8.637193e+01	2.020000e-07	2.180000e+04
20493	14	94	27	8	8.494515e+01	2.650000e-08	2.770000e+03
20494	14	94	27	9	8.490327e+01	1.610000e-07	1.680000e+04
20495	14	94	28	3	9.500602e+01	4.590000e-02	1.800000e+10
20496	14	94	28	5	9.061674e+01	2.630000e-04	9.390000e+07
20497	14	94	28	6	8.648520e+01	1.390000e-09	4.500000e+02
20498	14	94	28	9	8.501622e+01	9.140000e-08	2.870000e+04
20499	14	94	29	1	1.014342e+02	2.220000e-05	1.980000e+06
20500	14	94	29	3	9.506867e+01	1.090000e-03	8.570000e+07
20501	14	94	29	4	9.502713e+01	1.040000e-01	8.170000e+09
20502	14	94	29	5	9.067903e+01	1.110000e-01	7.910000e+09
20503	14	94	29	6	8.654799e+01	1.490000e-07	9.710000e+03
20504	14	94	29	8	8.512070e+01	2.180000e-08	1.370000e+03
20505	14	94	29	9	8.507922e+01	2.400000e-07	1.510000e+04
20506	14	94	29	13	8.051695e+01	2.290000e-07	1.290000e+04
20507	14	94	30	2	9.513578e+01	2.140000e-02	2.800000e+09
20508	14	94	30	3	9.511535e+01	1.320000e-02	1.730000e+09
20509	14	94	30	4	9.507450e+01	4.770000e-02	6.240000e+09
20510	14	94	30	5	9.072615e+01	4.000000e-02	4.760000e+09
20511	14	94	30	6	8.659515e+01	1.810000e-07	1.970000e+04
20512	14	94	30	8	8.516806e+01	3.840000e-08	4.030000e+03
20513	14	94	30	9	8.512654e+01	1.250000e-07	1.310000e+04
20514	14	94	31	3	1.008952e+02	1.550000e-04	6.850000e+07
20515	14	94	31	5	9.650578e+01	1.080000e-01	4.340000e+10
20516	14	94	31	6	9.237486e+01	8.950000e-07	3.310000e+05
20517	14	94	31	26	6.273339e+00	6.030000e-08	1.030000e+02
20518	14	94	31	29	5.826977e+00	8.000000e-08	1.180000e+02
20519	14	94	32	4	1.480574e+02	1.750000e-07	1.660000e+05
20520	14	94	32	8	1.381510e+02	2.500000e-03	2.070000e+09
20521	14	94	32	22	5.484142e+01	5.330000e-02	6.960000e+09
20522	14	94	32	25	5.370029e+01	2.690000e-01	3.360000e+10
20523	14	94	32	27	5.320596e+01	8.620000e-03	1.060000e+09
20524	14	94	32	30	5.298291e+01	5.430000e-02	6.620000e+09
20525	14	94	33	1	1.544830e+02	1.430000e-04	4.940000e+07
20526	14	94	33	3	1.481168e+02	1.320000e-07	4.200000e+04
20527	14	94	33	4	1.480756e+02	3.930000e-07	1.250000e+05
20528	14	94	33	5	1.437276e+02	1.330000e-09	3.990000e+02
20529	14	94	33	6	1.395962e+02	1.040000e-05	2.930000e+06
20530	14	94	33	7	1.381906e+02	2.510000e-03	6.930000e+08
20531	14	94	33	8	1.381691e+02	1.880000e-03	5.180000e+08
20532	14	94	33	9	1.381276e+02	3.110000e-03	8.590000e+08
20533	14	94	33	13	1.335652e+02	1.490000e-06	3.840000e+05
20534	14	94	33	22	5.485986e+01	1.180000e-01	5.150000e+09
20535	14	94	33	24	5.392451e+01	5.640000e-01	2.370000e+10
20536	14	94	33	25	5.371843e+01	5.520000e-02	2.310000e+09
20537	14	94	33	26	5.349476e+01	1.030000e-01	4.260000e+09
