	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
6005	14	100	47	101	1	12	0	2	0.000000e+00	2.275000e+00
6006	14	100	47	101	1	12	0	2	7.550070e+00	1.636000e+00
6007	14	100	47	101	1	12	0	2	1.632450e+01	1.177000e+00
6008	14	100	47	101	1	12	0	2	2.647860e+01	8.480000e-01
6009	14	100	47	101	1	12	0	2	3.832050e+01	6.103000e-01
6010	14	100	47	101	1	12	0	2	5.206420e+01	4.394000e-01
6011	14	100	47	101	1	12	0	2	6.807900e+01	3.162000e-01
6012	14	100	47	101	1	12	0	2	8.659040e+01	2.280000e-01
6013	14	100	47	101	1	12	0	2	1.082490e+02	1.640000e-01
6014	14	100	47	101	1	12	0	2	1.334760e+02	1.179000e-01
6015	14	100	47	101	1	12	0	2	1.623440e+02	8.522000e-02
6016	14	100	47	101	1	12	0	2	1.961020e+02	6.144000e-02
6017	14	100	47	101	1	12	0	2	2.352650e+02	4.430000e-02
6018	14	100	47	101	1	12	0	2	2.803310e+02	3.203000e-02
6019	14	100	47	101	1	12	0	2	3.328850e+02	2.312000e-02
6020	14	100	47	101	1	12	0	2	3.939430e+02	1.667000e-02
6021	14	100	47	101	1	12	0	2	4.646150e+02	1.203000e-02
6022	14	100	47	101	1	12	0	2	5.461050e+02	8.691000e-03
6023	14	100	47	101	1	12	0	2	6.418700e+02	6.247000e-03
6024	14	100	47	101	1	12	0	2	7.518780e+02	4.501000e-03
6025	14	100	47	101	1	12	0	2	8.807240e+02	3.229000e-03
6026	14	100	47	101	1	12	0	2	1.028170e+03	2.323000e-03
6027	14	100	47	101	1	12	0	2	1.200280e+03	1.665000e-03
6028	14	100	47	101	1	12	0	2	1.396470e+03	1.197000e-03
6029	14	100	47	101	1	12	0	2	1.624720e+03	8.577000e-04
6030	14	100	47	101	1	12	0	2	1.883920e+03	6.165000e-04
6031	14	100	47	101	1	12	0	2	2.184450e+03	4.413000e-04
6032	14	100	47	101	1	12	0	2	2.524410e+03	3.170000e-04
6033	14	100	47	101	1	12	0	2	2.917260e+03	2.267000e-04
6034	14	100	47	101	1	12	0	2	3.359910e+03	1.628000e-04
6035	14	100	47	101	1	12	0	2	3.869710e+03	1.163000e-04
6036	14	100	47	101	1	12	0	2	4.441890e+03	8.342000e-05
6037	14	100	47	101	1	12	0	2	5.098660e+03	5.956000e-05
6038	14	100	47	101	1	12	0	2	5.832870e+03	4.268000e-05
6039	14	100	47	101	1	12	0	2	6.672810e+03	3.045000e-05
6040	14	100	47	101	1	12	0	2	7.633670e+03	2.162000e-05
6041	14	100	47	101	1	12	0	2	8.703550e+03	1.541000e-05
6042	14	100	47	101	1	12	0	2	9.923410e+03	1.094000e-05
6043	14	100	47	101	1	12	0	2	1.127620e+04	7.800000e-06
6044	14	100	47	101	1	12	0	2	1.281340e+04	5.537000e-06
6045	14	100	47	101	1	12	0	2	1.451130e+04	3.950000e-06
6046	14	100	47	101	1	12	0	2	1.470780e+04	3.808000e-06
