	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3757	14	101	5	58	3	2	4	6	2.99902008e+02	4.01000000e+02	2s0.2p2.3d1.4D_5/2
3758	14	101	5	59	3	3	2	6	3.00911987e+02	4.01000000e+02	2s0.2p2.3d1.2F_5/2
3759	14	101	5	60	3	1	4	6	3.02947998e+02	4.01000000e+02	2s0.2p2.3d1.4P_5/2
3760	14	101	5	61	3	2	2	6	3.06471985e+02	4.01000000e+02	2s0.2p2.3d1.2D_5/2
3761	14	101	5	62	3	2	2	6	3.08992004e+02	4.01000000e+02	2s0.2p2.3d1.2D_5/2#2
3762	14	101	5	63	3	3	2	6	3.09746002e+02	4.01000000e+02	2s0.2p2.3d1.2F_5/2#2
3763	14	101	5	64	3	2	2	6	3.22830994e+02	4.01000000e+02	2s0.2p2.3d1.2D_5/2#3
3764	14	101	5	65	3	2	4	8	2.55845001e+02	4.01000000e+02	2s1.2p1.3p1.4D_7/2
3765	14	101	5	66	3	3	4	8	2.98217987e+02	4.01000000e+02	2s0.2p2.3d1.4F_7/2
3766	14	101	5	67	3	2	4	8	3.00045013e+02	4.01000000e+02	2s0.2p2.3d1.4D_7/2
3767	14	101	5	68	3	3	2	8	3.01545990e+02	4.01000000e+02	2s0.2p2.3d1.2F_7/2
3768	14	101	5	69	3	4	2	8	3.06826996e+02	4.01000000e+02	2s0.2p2.3d1.2G_7/2
3769	14	101	5	70	3	3	2	8	3.09546997e+02	4.01000000e+02	2s0.2p2.3d1.2F_7/2#2
3770	14	101	5	71	3	3	4	10	2.98546997e+02	4.01000000e+02	2s0.2p2.3d1.4F_9/2
3771	14	101	5	72	3	4	2	10	3.06888000e+02	4.01000000e+02	2s0.2p2.3d1.2G_9/2
3772	14	101	5	73	3	1	2	2	2.34417999e+02	4.01000000e+02	2p0.3p1.2P_1/2
3773	14	101	5	74	3	1	4	2	2.46975998e+02	4.01000000e+02	2s1.2p1.3s1.4P_1/2
3774	14	101	5	75	3	1	2	2	2.51714005e+02	4.01000000e+02	2s1.2p1.3s1.2P_1/2
3775	14	101	5	76	3	2	4	2	2.66566010e+02	4.01000000e+02	2s1.2p1.3d1.4D_1/2
3776	14	101	5	77	3	1	4	2	2.66692993e+02	4.01000000e+02	2s1.2p1.3d1.4P_1/2
3777	14	101	5	78	3	1	2	2	2.67523010e+02	4.01000000e+02	2s1.2p1.3s1.2P_1/2#2
3778	14	101	5	79	3	1	2	2	2.72872986e+02	4.01000000e+02	2s1.2p1.3d1.2P_1/2
3779	14	101	5	80	3	1	2	2	2.88592010e+02	4.01000000e+02	2s1.2p1.3d1.2P_1/2#2
