	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16518	26	334	14	335	1	12	0	2	0.000000e+00	2.275000e+00
16519	26	334	14	335	1	12	0	2	7.550070e+00	1.636000e+00
16520	26	334	14	335	1	12	0	2	1.632450e+01	1.177000e+00
16521	26	334	14	335	1	12	0	2	2.647860e+01	8.480000e-01
16522	26	334	14	335	1	12	0	2	3.832050e+01	6.103000e-01
16523	26	334	14	335	1	12	0	2	5.206420e+01	4.394000e-01
16524	26	334	14	335	1	12	0	2	6.807900e+01	3.162000e-01
16525	26	334	14	335	1	12	0	2	8.659040e+01	2.280000e-01
16526	26	334	14	335	1	12	0	2	1.082490e+02	1.640000e-01
16527	26	334	14	335	1	12	0	2	1.334760e+02	1.179000e-01
16528	26	334	14	335	1	12	0	2	1.623440e+02	8.522000e-02
16529	26	334	14	335	1	12	0	2	1.961020e+02	6.144000e-02
16530	26	334	14	335	1	12	0	2	2.352650e+02	4.430000e-02
16531	26	334	14	335	1	12	0	2	2.803310e+02	3.203000e-02
16532	26	334	14	335	1	12	0	2	3.328850e+02	2.312000e-02
16533	26	334	14	335	1	12	0	2	3.939430e+02	1.667000e-02
16534	26	334	14	335	1	12	0	2	4.646150e+02	1.203000e-02
16535	26	334	14	335	1	12	0	2	5.461050e+02	8.691000e-03
16536	26	334	14	335	1	12	0	2	6.418700e+02	6.247000e-03
16537	26	334	14	335	1	12	0	2	7.518780e+02	4.501000e-03
16538	26	334	14	335	1	12	0	2	8.807240e+02	3.229000e-03
16539	26	334	14	335	1	12	0	2	1.028170e+03	2.323000e-03
16540	26	334	14	335	1	12	0	2	1.200280e+03	1.665000e-03
16541	26	334	14	335	1	12	0	2	1.396470e+03	1.197000e-03
16542	26	334	14	335	1	12	0	2	1.624720e+03	8.577000e-04
16543	26	334	14	335	1	12	0	2	1.883920e+03	6.165000e-04
16544	26	334	14	335	1	12	0	2	2.184450e+03	4.413000e-04
16545	26	334	14	335	1	12	0	2	2.524410e+03	3.170000e-04
16546	26	334	14	335	1	12	0	2	2.917260e+03	2.267000e-04
16547	26	334	14	335	1	12	0	2	3.359910e+03	1.628000e-04
16548	26	334	14	335	1	12	0	2	3.869710e+03	1.163000e-04
16549	26	334	14	335	1	12	0	2	4.441890e+03	8.342000e-05
16550	26	334	14	335	1	12	0	2	5.098660e+03	5.956000e-05
16551	26	334	14	335	1	12	0	2	5.832870e+03	4.268000e-05
16552	26	334	14	335	1	12	0	2	6.672810e+03	3.045000e-05
16553	26	334	14	335	1	12	0	2	7.633670e+03	2.162000e-05
16554	26	334	14	335	1	12	0	2	8.703550e+03	1.541000e-05
16555	26	334	14	335	1	12	0	2	9.923410e+03	1.094000e-05
16556	26	334	14	335	1	12	0	2	1.127620e+04	7.800000e-06
16557	26	334	14	335	1	12	0	2	1.281340e+04	5.537000e-06
16558	26	334	14	335	1	12	0	2	1.451130e+04	3.950000e-06
16559	26	334	14	335	1	12	0	2	1.470780e+04	3.808000e-06
