	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16311	26	330	2	331	1	12	0	2	0.000000e+00	7.370000e+00
16312	26	330	2	331	1	12	0	2	7.198300e-01	5.300000e+00
16313	26	330	2	331	1	12	0	2	1.553510e+00	3.816000e+00
16314	26	330	2	331	1	12	0	2	2.518620e+00	2.751000e+00
16315	26	330	2	331	1	12	0	2	3.645880e+00	1.980000e+00
16316	26	330	2	331	1	12	0	2	4.961270e+00	1.423000e+00
16317	26	330	2	331	1	12	0	2	6.478970e+00	1.026000e+00
16318	26	330	2	331	1	12	0	2	8.244700e+00	7.391000e-01
16319	26	330	2	331	1	12	0	2	1.030150e+01	5.322000e-01
16320	26	330	2	331	1	12	0	2	1.268670e+01	3.835000e-01
16321	26	330	2	331	1	12	0	2	1.545650e+01	2.764000e-01
16322	26	330	2	331	1	12	0	2	1.869540e+01	1.988000e-01
16323	26	330	2	331	1	12	0	2	2.245290e+01	1.431000e-01
16324	26	330	2	331	1	12	0	2	2.677670e+01	1.033000e-01
16325	26	330	2	331	1	12	0	2	3.181900e+01	7.442000e-02
16326	26	330	2	331	1	12	0	2	3.767730e+01	5.360000e-02
16327	26	330	2	331	1	12	0	2	4.445790e+01	3.863000e-02
16328	26	330	2	331	1	12	0	2	5.227640e+01	2.788000e-02
16329	26	330	2	331	1	12	0	2	6.146460e+01	2.002000e-02
16330	26	330	2	331	1	12	0	2	7.201920e+01	1.442000e-02
16331	26	330	2	331	1	12	0	2	8.409770e+01	1.041000e-02
16332	26	330	2	331	1	12	0	2	9.819620e+01	7.487000e-03
16333	26	330	2	331	1	12	0	2	1.142680e+02	5.402000e-03
16334	26	330	2	331	1	12	0	2	1.329660e+02	3.884000e-03
16335	26	330	2	331	1	12	0	2	1.547190e+02	2.781000e-03
16336	26	330	2	331	1	12	0	2	1.794210e+02	1.998000e-03
16337	26	330	2	331	1	12	0	2	2.080620e+02	1.430000e-03
16338	26	330	2	331	1	12	0	2	2.404610e+02	1.027000e-03
16339	26	330	2	331	1	12	0	2	2.779000e+02	7.346000e-04
16340	26	330	2	331	1	12	0	2	3.200860e+02	5.273000e-04
16341	26	330	2	331	1	12	0	2	3.686710e+02	3.768000e-04
16342	26	330	2	331	1	12	0	2	4.232010e+02	2.702000e-04
16343	26	330	2	331	1	12	0	2	4.857920e+02	1.929000e-04
16344	26	330	2	331	1	12	0	2	5.557630e+02	1.382000e-04
16345	26	330	2	331	1	12	0	2	6.358100e+02	9.859000e-05
16346	26	330	2	331	1	12	0	2	7.273830e+02	7.000000e-05
16347	26	330	2	331	1	12	0	2	8.293480e+02	4.991000e-05
16348	26	330	2	331	1	12	0	2	9.455980e+02	3.542000e-05
16349	26	330	2	331	1	12	0	2	1.074530e+03	2.525000e-05
16350	26	330	2	331	1	12	0	2	1.221030e+03	1.792000e-05
16351	26	330	2	331	1	12	0	2	1.382830e+03	1.279000e-05
16352	26	330	2	331	1	12	0	2	1.566080e+03	9.086000e-06
16353	26	330	2	331	1	12	0	2	1.773620e+03	6.430000e-06
16354	26	330	2	331	1	12	0	2	2.001910e+03	4.577000e-06
16355	26	330	2	331	1	12	0	2	2.259570e+03	3.246000e-06
16356	26	330	2	331	1	12	0	2	2.541840e+03	2.316000e-06
16357	26	330	2	331	1	12	0	2	2.859360e+03	1.647000e-06
16358	26	330	2	331	1	12	0	2	3.216550e+03	1.168000e-06
16359	26	330	2	331	1	12	0	2	3.618350e+03	8.255000e-07
16360	26	330	2	331	1	12	0	2	4.056670e+03	5.876000e-07
16361	26	330	2	331	1	12	0	2	4.548100e+03	4.171000e-07
16362	26	330	2	331	1	12	0	2	5.099050e+03	2.953000e-07
16363	26	330	2	331	1	12	0	2	5.716740e+03	2.086000e-07
16364	26	330	2	331	1	12	0	2	6.387730e+03	1.485000e-07
16365	26	330	2	331	1	12	0	2	7.137470e+03	1.054000e-07
16366	26	330	2	331	1	12	0	2	7.975190e+03	7.472000e-08
16367	26	330	2	331	1	12	0	2	8.002100e+03	7.394000e-08
