	Z	Ion	Initial Level	Final Level	Temperature	Rate
20421	26	350	42	6	6.250286e+05	6.474900e+00
20422	26	350	42	6	1.247096e+06	6.742200e+00
20423	26	350	42	6	2.488283e+06	6.989700e+00
20424	26	350	42	6	4.964779e+06	7.221400e+00
20425	26	350	42	6	9.906042e+06	7.469100e+00
20426	26	350	42	6	1.976514e+07	8.246200e+00
20427	26	350	42	6	2.791901e+07	8.700200e+00
20428	26	350	42	6	3.943665e+07	9.040000e+00
20429	26	350	42	6	5.570577e+07	9.277100e+00
20430	26	350	42	6	7.868642e+07	9.436500e+00
20431	26	350	42	6	1.111477e+08	9.543200e+00
20432	26	350	42	6	1.570001e+08	9.614000e+00
20433	26	350	42	6	2.217684e+08	9.661500e+00
20434	26	350	42	6	3.132565e+08	9.694100e+00
20435	26	350	42	6	4.424862e+08	9.715900e+00
20436	26	350	42	6	6.250293e+08	9.731800e+00
20437	26	350	42	7	6.250286e+05	7.878700e+00
20438	26	350	42	7	1.247096e+06	8.128400e+00
20439	26	350	42	7	2.488283e+06	8.348800e+00
20440	26	350	42	7	4.964779e+06	8.542900e+00
20441	26	350	42	7	9.906042e+06	8.719400e+00
20442	26	350	42	7	1.976514e+07	9.157100e+00
20443	26	350	42	7	2.791901e+07	9.528700e+00
20444	26	350	42	7	3.943665e+07	9.847100e+00
20445	26	350	42	7	5.570577e+07	1.008100e+01
20446	26	350	42	7	7.868642e+07	1.024300e+01
20447	26	350	42	7	1.111477e+08	1.035200e+01
20448	26	350	42	7	1.570001e+08	1.042600e+01
20449	26	350	42	7	2.217684e+08	1.047500e+01
20450	26	350	42	7	3.132565e+08	1.051000e+01
20451	26	350	42	7	4.424862e+08	1.053300e+01
20452	26	350	42	7	6.250293e+08	1.054800e+01
20453	26	350	42	17	6.250286e+05	7.844300e+00
20454	26	350	42	17	1.247096e+06	8.059900e+00
20455	26	350	42	17	2.488283e+06	8.242200e+00
20456	26	350	42	17	4.964779e+06	8.387700e+00
20457	26	350	42	17	9.906042e+06	8.496700e+00
20458	26	350	42	17	1.976514e+07	8.594200e+00
20459	26	350	42	17	2.791901e+07	8.676400e+00
20460	26	350	42	17	3.943665e+07	8.776400e+00
20461	26	350	42	17	5.570577e+07	8.876400e+00
20462	26	350	42	17	7.868642e+07	8.955700e+00
20463	26	350	42	17	1.111477e+08	9.018000e+00
20464	26	350	42	17	1.570001e+08	9.058300e+00
20465	26	350	42	17	2.217684e+08	9.086000e+00
20466	26	350	42	17	3.132565e+08	9.113200e+00
20467	26	350	42	17	4.424862e+08	9.125000e+00
20468	26	350	42	17	6.250293e+08	9.137200e+00
20469	26	350	42	26	6.250286e+05	7.167400e+00
20470	26	350	42	26	1.247096e+06	7.420300e+00
20471	26	350	42	26	2.488283e+06	7.646800e+00
20472	26	350	42	26	4.964779e+06	7.850700e+00
