	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
0	26	349	1	348	167	12	0	2	1.000000e+01	2.100342e-08
1	26	349	1	348	167	12	0	2	1.258925e+01	1.867884e-08
2	26	349	1	348	167	12	0	2	1.584893e+01	1.660734e-08
3	26	349	1	348	167	12	0	2	1.995262e+01	1.476148e-08
4	26	349	1	348	167	12	0	2	2.511886e+01	1.311686e-08
5	26	349	1	348	167	12	0	2	3.162278e+01	1.165145e-08
6	26	349	1	348	167	12	0	2	3.981072e+01	1.034618e-08
7	26	349	1	348	167	12	0	2	5.011873e+01	9.183110e-09
8	26	349	1	348	167	12	0	2	6.309573e+01	8.147423e-09
9	26	349	1	348	167	12	0	2	7.943282e+01	7.224877e-09
10	26	349	1	348	167	12	0	2	1.000000e+02	6.403543e-09
11	26	349	1	348	167	12	0	2	1.258925e+02	5.672178e-09
12	26	349	1	348	167	12	0	2	1.584893e+02	5.021234e-09
13	26	349	1	348	167	12	0	2	1.995262e+02	4.442016e-09
14	26	349	1	348	167	12	0	2	2.511887e+02	3.926810e-09
15	26	349	1	348	167	12	0	2	3.162278e+02	3.468564e-09
16	26	349	1	348	167	12	0	2	3.981071e+02	3.061332e-09
17	26	349	1	348	167	12	0	2	5.011873e+02	2.699480e-09
18	26	349	1	348	167	12	0	2	6.309573e+02	2.378210e-09
19	26	349	1	348	167	12	0	2	7.943284e+02	2.093147e-09
20	26	349	1	348	167	12	0	2	1.000000e+03	1.840305e-09
21	26	349	1	348	167	12	0	2	1.258925e+03	1.616292e-09
22	26	349	1	348	167	12	0	2	1.584893e+03	1.417981e-09
23	26	349	1	348	167	12	0	2	1.995262e+03	1.242568e-09
24	26	349	1	348	167	12	0	2	2.511887e+03	1.087577e-09
25	26	349	1	348	167	12	0	2	3.162278e+03	9.507795e-10
26	26	349	1	348	167	12	0	2	3.981071e+03	8.301946e-10
27	26	349	1	348	167	12	0	2	5.011873e+03	7.241030e-10
28	26	349	1	348	167	12	0	2	6.309573e+03	6.316549e-10
29	26	349	1	348	167	12	0	2	7.943284e+03	5.541661e-10
30	26	349	1	348	167	12	0	2	1.000000e+04	4.957350e-10
31	26	349	1	348	167	12	0	2	1.258925e+04	4.604477e-10
32	26	349	1	348	167	12	0	2	1.584892e+04	4.470639e-10
33	26	349	1	348	167	12	0	2	1.995263e+04	4.469717e-10
34	26	349	1	348	167	12	0	2	2.511887e+04	4.480231e-10
35	26	349	1	348	167	12	0	2	3.162278e+04	4.410621e-10
36	26	349	1	348	167	12	0	2	3.981071e+04	4.232923e-10
37	26	349	1	348	167	12	0	2	5.011870e+04	3.967348e-10
38	26	349	1	348	167	12	0	2	6.309576e+04	3.646028e-10
39	26	349	1	348	167	12	0	2	7.943284e+04	3.293895e-10
40	26	349	1	348	167	12	0	2	1.000000e+05	2.930893e-10
41	26	349	1	348	167	12	0	2	1.258925e+05	2.576917e-10
42	26	349	1	348	167	12	0	2	1.584892e+05	2.247190e-10
43	26	349	1	348	167	12	0	2	1.995263e+05	1.944867e-10
44	26	349	1	348	167	12	0	2	2.511887e+05	1.662572e-10
45	26	349	1	348	167	12	0	2	3.162278e+05	1.390849e-10
46	26	349	1	348	167	12	0	2	3.981071e+05	1.125407e-10
47	26	349	1	348	167	12	0	2	5.011870e+05	8.697606e-11
48	26	349	1	348	167	12	0	2	6.309576e+05	6.334315e-11
49	26	349	1	348	167	12	0	2	7.943284e+05	4.266780e-11
50	26	349	1	348	167	12	0	2	1.000000e+06	2.573354e-11
51	26	349	1	348	167	12	0	2	1.258925e+06	1.281151e-11
52	26	349	1	348	167	12	0	2	1.584892e+06	3.721343e-12
53	26	349	1	348	167	12	0	2	1.995263e+06	1.000000e-30
54	26	349	1	348	167	12	0	2	2.511887e+06	1.000000e-30
55	26	349	1	348	167	12	0	2	3.162278e+06	1.000000e-30
56	26	349	1	348	167	12	0	2	3.981071e+06	1.000000e-30
57	26	349	1	348	167	12	0	2	5.011870e+06	1.000000e-30
58	26	349	1	348	167	12	0	2	6.309576e+06	1.000000e-30
59	26	349	1	348	167	12	0	2	7.943284e+06	1.000000e-30
60	26	349	1	348	167	12	0	2	1.000000e+07	1.000000e-30
61	26	349	1	348	167	12	0	2	1.258925e+07	1.000000e-30
62	26	349	1	348	167	12	0	2	1.584892e+07	1.000000e-30
63	26	349	1	348	167	12	0	2	1.995263e+07	1.000000e-30
64	26	349	1	348	167	12	0	2	2.511887e+07	1.000000e-30
65	26	349	1	348	167	12	0	2	3.162278e+07	1.000000e-30
66	26	349	1	348	167	12	0	2	3.981071e+07	1.000000e-30
67	26	349	1	348	167	12	0	2	5.011870e+07	1.000000e-30
68	26	349	1	348	167	12	0	2	6.309576e+07	1.000000e-30
69	26	349	1	348	167	12	0	2	7.943284e+07	2.311001e-14
70	26	349	1	348	167	12	0	2	1.000000e+08	5.817012e-14
71	26	349	1	348	167	12	0	2	1.258927e+08	7.281147e-14
72	26	349	1	348	167	12	0	2	1.584892e+08	7.469639e-14
73	26	349	1	348	167	12	0	2	1.995263e+08	6.947039e-14
74	26	349	1	348	167	12	0	2	2.511884e+08	6.085550e-14
75	26	349	1	348	167	12	0	2	3.162278e+08	5.121535e-14
76	26	349	1	348	167	12	0	2	3.981075e+08	4.186968e-14
77	26	349	1	348	167	12	0	2	5.011870e+08	3.348114e-14
78	26	349	1	348	167	12	0	2	6.309576e+08	2.631482e-14
79	26	349	1	348	167	12	0	2	7.943275e+08	2.039387e-14
80	26	349	1	348	167	12	0	2	1.000000e+09	1.562788e-14
