	Z	Ion	Initial Level	Final Level	Energy	Strength	Rate
94055	26	331	2	1	6.338770e-02	0.000000e+00	5.740000e-03
94056	26	331	3	2	8.393701e-02	0.000000e+00	1.340000e-02
94057	26	331	4	3	1.007067e-01	0.000000e+00	1.450000e-02
94058	26	331	5	1	2.323172e+00	0.000000e+00	6.003100e-02
94059	26	331	5	2	2.259782e+00	0.000000e+00	3.420000e-02
94060	26	331	6	1	2.348431e+00	0.000000e+00	1.565000e-02
94061	26	331	6	2	2.285042e+00	0.000000e+00	3.498000e-02
94062	26	331	6	3	2.201103e+00	0.000000e+00	3.840000e-02
94063	26	331	6	5	2.525910e-02	0.000000e+00	1.870000e-04
94064	26	331	7	1	2.431347e+00	0.000000e+00	2.700000e-04
94065	26	331	7	2	2.367960e+00	0.000000e+00	6.990000e-03
94066	26	331	7	3	2.284024e+00	0.000000e+00	2.136300e-01
94067	26	331	7	4	2.183315e+00	0.000000e+00	5.230000e-02
94068	26	331	7	6	8.291701e-02	0.000000e+00	4.730000e-03
94069	26	331	8	1	2.556025e+00	0.000000e+00	1.660000e-05
94070	26	331	8	2	2.492636e+00	0.000000e+00	2.440000e-01
94071	26	331	8	3	2.408697e+00	0.000000e+00	2.610000e-01
94072	26	331	8	4	2.307992e+00	0.000000e+00	1.340000e-02
94073	26	331	9	2	2.579241e+00	0.000000e+00	4.710000e-06
94074	26	331	9	3	2.495306e+00	0.000000e+00	2.510000e-01
94075	26	331	9	4	2.394597e+00	0.000000e+00	6.240000e-01
94076	26	331	9	8	8.660724e-02	0.000000e+00	4.010000e-03
94077	26	331	10	1	3.250119e+00	0.000000e+00	3.560000e-01
94078	26	331	10	2	3.186729e+00	0.000000e+00	5.780000e-01
94079	26	331	10	3	3.102797e+00	0.000000e+00	4.140000e-03
94080	26	331	10	5	9.269464e-01	0.000000e+00	9.290000e-02
94081	26	331	10	6	9.016924e-01	0.000000e+00	2.130000e-01
94082	26	331	10	7	8.187714e-01	0.000000e+00	1.000000e-01
94083	26	331	10	8	6.940953e-01	0.000000e+00	7.850000e-06
