	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
24562	26	344	1	343	337	12	0	2	8.617300e-01	1.237144e-08
24563	26	344	1	343	337	12	0	2	9.479030e-01	1.099765e-08
24564	26	344	1	343	337	12	0	2	1.034076e+00	9.773504e-09
24565	26	344	1	343	337	12	0	2	1.120249e+00	8.683007e-09
24566	26	344	1	343	337	12	0	2	1.206422e+00	7.711339e-09
24567	26	344	1	343	337	12	0	2	1.292595e+00	6.845578e-09
24568	26	344	1	343	337	12	0	2	1.378768e+00	6.074495e-09
24569	26	344	1	343	337	12	0	2	1.464941e+00	5.387652e-09
24570	26	344	1	343	337	12	0	2	1.551114e+00	4.776068e-09
24571	26	344	1	343	337	12	0	2	1.637287e+00	4.231361e-09
24572	26	344	1	343	337	12	0	2	1.723460e+00	3.746540e-09
24573	26	344	1	343	337	12	0	2	1.809633e+00	3.315047e-09
24574	26	344	1	343	337	12	0	2	1.895806e+00	2.931093e-09
24575	26	344	1	343	337	12	0	2	1.981979e+00	2.589646e-09
24576	26	344	1	343	337	12	0	2	2.068152e+00	2.286022e-09
24577	26	344	1	343	337	12	0	2	2.154325e+00	2.016693e-09
24578	26	344	1	343	337	12	0	2	2.240498e+00	1.780327e-09
24579	26	344	1	343	337	12	0	2	2.326671e+00	1.580447e-09
24580	26	344	1	343	337	12	0	2	2.412844e+00	1.424789e-09
24581	26	344	1	343	337	12	0	2	2.499017e+00	1.318135e-09
24582	26	344	1	343	337	12	0	2	2.585190e+00	1.253198e-09
24583	26	344	1	343	337	12	0	2	2.671363e+00	1.210181e-09
24584	26	344	1	343	337	12	0	2	2.757536e+00	1.166004e-09
24585	26	344	1	343	337	12	0	2	2.843709e+00	1.104409e-09
24586	26	344	1	343	337	12	0	2	2.929882e+00	1.020329e-09
24587	26	344	1	343	337	12	0	2	3.016055e+00	9.180792e-10
24588	26	344	1	343	337	12	0	2	3.102228e+00	8.067523e-10
24589	26	344	1	343	337	12	0	2	3.188401e+00	6.964497e-10
24590	26	344	1	343	337	12	0	2	3.274574e+00	5.960057e-10
24591	26	344	1	343	337	12	0	2	3.360747e+00	5.109168e-10
24592	26	344	1	343	337	12	0	2	3.446920e+00	4.422113e-10
24593	26	344	1	343	337	12	0	2	3.533093e+00	3.869281e-10
24594	26	344	1	343	337	12	0	2	3.619266e+00	3.403922e-10
24595	26	344	1	343	337	12	0	2	3.705439e+00	2.985726e-10
24596	26	344	1	343	337	12	0	2	3.791612e+00	2.593465e-10
24597	26	344	1	343	337	12	0	2	3.877785e+00	2.225870e-10
24598	26	344	1	343	337	12	0	2	3.963958e+00	1.893738e-10
24599	26	344	1	343	337	12	0	2	4.050131e+00	1.608867e-10
24600	26	344	1	343	337	12	0	2	4.136304e+00	1.374200e-10
24601	26	344	1	343	337	12	0	2	4.222477e+00	1.182062e-10
24602	26	344	1	343	337	12	0	2	4.308650e+00	1.019928e-10
24603	26	344	1	343	337	12	0	2	4.394823e+00	8.780102e-11
24604	26	344	1	343	337	12	0	2	4.480996e+00	7.535290e-11
24605	26	344	1	343	337	12	0	2	4.567169e+00	6.502792e-11
24606	26	344	1	343	337	12	0	2	4.653342e+00	5.724004e-11
24607	26	344	1	343	337	12	0	2	4.739515e+00	5.179647e-11
24608	26	344	1	343	337	12	0	2	4.825688e+00	4.784098e-11
24609	26	344	1	343	337	12	0	2	4.911861e+00	4.439149e-11
24610	26	344	1	343	337	12	0	2	4.998034e+00	4.090724e-11
24611	26	344	1	343	337	12	0	2	5.084207e+00	3.753185e-11
24612	26	344	1	343	337	12	0	2	5.170380e+00	3.481766e-11
24613	26	344	1	343	337	12	0	2	5.256553e+00	3.331964e-11
24614	26	344	1	343	337	12	0	2	5.342726e+00	3.338871e-11
24615	26	344	1	343	337	12	0	2	5.428899e+00	3.498642e-11
24616	26	344	1	343	337	12	0	2	5.515072e+00	3.748869e-11
24617	26	344	1	343	337	12	0	2	5.601245e+00	3.982903e-11
24618	26	344	1	343	337	12	0	2	5.687418e+00	4.091667e-11
24619	26	344	1	343	337	12	0	2	5.773591e+00	4.011438e-11
24620	26	344	1	343	337	12	0	2	5.859764e+00	3.743694e-11
24621	26	344	1	343	337	12	0	2	5.945937e+00	3.333494e-11
24622	26	344	1	343	337	12	0	2	6.032110e+00	2.848396e-11
24623	26	344	1	343	337	12	0	2	6.118283e+00	2.350176e-11
24624	26	344	1	343	337	12	0	2	6.204456e+00	1.883217e-11
24625	26	344	1	343	337	12	0	2	6.290629e+00	1.473329e-11
24626	26	344	1	343	337	12	0	2	6.376802e+00	1.130837e-11
24627	26	344	1	343	337	12	0	2	6.462975e+00	8.546728e-12
