	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16699	26	339	13	340	1	12	0	2	0.000000e+00	9.400000e-01
16700	26	339	13	340	1	12	0	2	4.418010e+01	6.763000e-01
16701	26	339	13	340	1	12	0	2	9.536830e+01	4.870000e-01
16702	26	339	13	340	1	12	0	2	1.551020e+02	3.503000e-01
16703	26	339	13	340	1	12	0	2	2.243790e+02	2.522000e-01
16704	26	339	13	340	1	12	0	2	3.051980e+02	1.814000e-01
16705	26	339	13	340	1	12	0	2	3.984870e+02	1.307000e-01
16706	26	339	13	340	1	12	0	2	5.063210e+02	9.439000e-02
16707	26	339	13	340	1	12	0	2	6.324870e+02	6.799000e-02
16708	26	339	13	340	1	12	0	2	7.794330e+02	4.895000e-02
16709	26	339	13	340	1	12	0	2	9.507930e+02	3.520000e-02
16710	26	339	13	340	1	12	0	2	1.148110e+03	2.539000e-02
16711	26	339	13	340	1	12	0	2	1.377010e+03	1.832000e-02
16712	26	339	13	340	1	12	0	2	1.645930e+03	1.317000e-02
16713	26	339	13	340	1	12	0	2	1.954140e+03	9.507000e-03
16714	26	339	13	340	1	12	0	2	2.312210e+03	6.858000e-03
16715	26	339	13	340	1	12	0	2	2.726660e+03	4.949000e-03
16716	26	339	13	340	1	12	0	2	3.204560e+03	3.576000e-03
16717	26	339	13	340	1	12	0	2	3.766180e+03	2.571000e-03
16718	26	339	13	340	1	12	0	2	4.411310e+03	1.852000e-03
16719	26	339	13	340	1	12	0	2	5.166920e+03	1.329000e-03
16720	26	339	13	340	1	12	0	2	6.031590e+03	9.563000e-04
16721	26	339	13	340	1	12	0	2	7.040920e+03	6.854000e-04
16722	26	339	13	340	1	12	0	2	8.191510e+03	4.929000e-04
16723	26	339	13	340	1	12	0	2	9.530110e+03	3.531000e-04
16724	26	339	13	340	1	12	0	2	1.105020e+04	2.538000e-04
16725	26	339	13	340	1	12	0	2	1.281260e+04	1.817000e-04
16726	26	339	13	340	1	12	0	2	1.470700e+04	1.325000e-04
16727	26	339	13	340	1	12	0	2	1.470830e+05	3.514000e-07
