	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
11170	26	341	11	1	3	0	2	2	0.000000e+00	4.900000e+02	3s1.2S_1/2
11171	26	341	11	2	3	1	2	2	3.435310e+01	4.900000e+02	3s0.3p1.2P_1/2
11172	26	341	11	3	3	1	2	4	3.694960e+01	4.900000e+02	3s0.3p1.2P_3/2
11173	26	341	11	4	3	2	2	4	8.371390e+01	4.900000e+02	3s0.3d1.2D_3/2
11174	26	341	11	5	3	2	2	6	8.407500e+01	4.900000e+02	3s0.3d1.2D_5/2
11175	26	341	11	6	4	0	2	2	2.314490e+02	4.900000e+02	3s0.4s1.2S_1/2
11176	26	341	11	7	4	1	2	2	2.451430e+02	4.900000e+02	3s0.4p1.2P_1/2
11177	26	341	11	8	4	1	2	4	2.461420e+02	4.900000e+02	3s0.4p1.2P_3/2
11178	26	341	11	9	4	2	2	4	2.632560e+02	4.900000e+02	3s0.4d1.2D_3/2
11179	26	341	11	10	4	2	2	6	2.634010e+02	4.900000e+02	3s0.4d1.2D_5/2
11180	26	341	11	11	4	3	2	6	2.707450e+02	4.900000e+02	3s0.4f1.2F_5/2
11181	26	341	11	12	4	3	2	8	2.708110e+02	4.900000e+02	3s0.4f1.2F_7/2
11182	26	341	11	13	5	0	2	2	3.299080e+02	4.900000e+02	3s0.5s1.2S_1/2
11183	26	341	11	14	5	1	2	2	3.367450e+02	4.900000e+02	3s0.5p1.2P_1/2
11184	26	341	11	15	5	1	2	4	3.372400e+02	4.900000e+02	3s0.5p1.2P_3/2
11185	26	341	11	16	5	2	2	4	3.455300e+02	4.900000e+02	3s0.5d1.2D_3/2
11186	26	341	11	17	5	2	2	6	3.455990e+02	4.900000e+02	3s0.5d1.2D_5/2
11187	26	341	11	18	5	3	2	6	3.493160e+02	4.900000e+02	3s0.5f1.2F_5/2
11188	26	341	11	19	5	3	2	8	3.493530e+02	4.900000e+02	3s0.5f1.2F_7/2
11189	26	341	11	20	5	4	2	8	3.497490e+02	4.900000e+02	3s0.5g1.2G_7/2
11190	26	341	11	21	5	4	2	10	3.497490e+02	4.900000e+02	3s0.5g1.2G_9/2
11191	26	341	11	23	3	1	2	4	7.136060e+02	4.900000e+02	2p5.3s2.2P_3/2
11192	26	341	11	24	3	1	2	2	7.262170e+02	4.900000e+02	2p5.3s2.2P_1/2
11193	26	341	11	26	3	0	2	2	7.142580e+03	4.900000e+02	1s1.2s2.2p6.3s2.2S_1/2
11194	26	341	11	28	3	0	4	4	7.374830e+02	4.900000e+02	2p5.3s1.3p1.4S_3/2
11195	26	341	11	29	3	2	4	6	7.406930e+02	4.900000e+02	2p5.3s1.3p1.4D_5/2
11196	26	341	11	30	3	1	4	4	7.415330e+02	4.900000e+02	2p5.3s1.3p1.4P_3/2
11197	26	341	11	31	3	2	4	8	7.416030e+02	4.900000e+02	2p5.3s1.3p1.4D_7/2
11198	26	341	11	32	3	1	2	2	7.430730e+02	4.900000e+02	2p5.3s1.3p1.2P_1/2
11199	26	341	11	33	3	1	4	6	7.446290e+02	4.900000e+02	2p5.3s1.3p1.4P_5/2
11200	26	341	11	34	3	2	2	4	7.447350e+02	4.900000e+02	2p5.3s1.3p1.2D_3/2
11201	26	341	11	35	3	0	2	2	7.470140e+02	4.900000e+02	2p5.3s1.3p1.2S_1/2
11202	26	341	11	36	3	2	4	2	7.541070e+02	4.900000e+02	2p5.3s1.3p1.4D_1/2
11203	26	341	11	37	3	1	4	2	7.544570e+02	4.900000e+02	2p5.3s1.3p1.4P_1/2
11204	26	341	11	38	3	2	4	4	7.554460e+02	4.900000e+02	2p5.3s1.3p1.4D_3/2
11205	26	341	11	39	3	2	2	6	7.556740e+02	4.900000e+02	2p5.3s1.3p1.2D_5/2
11206	26	341	11	40	3	1	2	4	7.568910e+02	4.900000e+02	2p5.3s1.3p1.2P_3/2
11207	26	341	11	41	3	1	2	4	7.580090e+02	4.900000e+02	2p5.3s1.3p1.2P_3/2#2
