	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
25048	26	350	1	349	25	12	0	2	8.617300e-04	2.050265e-08
25049	26	350	1	349	25	12	0	2	1.084854e-03	1.825241e-08
25050	26	350	1	349	25	12	0	2	1.365750e-03	1.624726e-08
25051	26	350	1	349	25	12	0	2	1.719377e-03	1.446006e-08
25052	26	350	1	349	25	12	0	2	2.164568e-03	1.286708e-08
25053	26	350	1	349	25	12	0	2	2.725030e-03	1.144749e-08
25054	26	350	1	349	25	12	0	2	3.430609e-03	1.018264e-08
25055	26	350	1	349	25	12	0	2	4.318881e-03	9.055233e-09
25056	26	350	1	349	25	12	0	2	5.437148e-03	8.050816e-09
25057	26	350	1	349	25	12	0	2	6.844964e-03	7.155657e-09
25058	26	350	1	349	25	12	0	2	8.617300e-03	6.357991e-09
25059	26	350	1	349	25	12	0	2	1.084854e-02	5.647421e-09
25060	26	350	1	349	25	12	0	2	1.365750e-02	5.014182e-09
25061	26	350	1	349	25	12	0	2	1.719377e-02	4.450100e-09
25062	26	350	1	349	25	12	0	2	2.164568e-02	3.947664e-09
25063	26	350	1	349	25	12	0	2	2.725030e-02	3.500095e-09
25064	26	350	1	349	25	12	0	2	3.430608e-02	3.101559e-09
25065	26	350	1	349	25	12	0	2	4.318881e-02	2.746694e-09
25066	26	350	1	349	25	12	0	2	5.437148e-02	2.430803e-09
25067	26	350	1	349	25	12	0	2	6.844966e-02	2.149613e-09
25068	26	350	1	349	25	12	0	2	8.617300e-02	1.899502e-09
25069	26	350	1	349	25	12	0	2	1.084854e-01	1.676989e-09
25070	26	350	1	349	25	12	0	2	1.365750e-01	1.479177e-09
25071	26	350	1	349	25	12	0	2	1.719377e-01	1.303406e-09
25072	26	350	1	349	25	12	0	2	2.164568e-01	1.147308e-09
25073	26	350	1	349	25	12	0	2	2.725030e-01	1.008718e-09
25074	26	350	1	349	25	12	0	2	3.430608e-01	8.857272e-10
25075	26	350	1	349	25	12	0	2	4.318881e-01	7.765870e-10
25076	26	350	1	349	25	12	0	2	5.437148e-01	6.796733e-10
25077	26	350	1	349	25	12	0	2	6.844966e-01	5.935672e-10
25078	26	350	1	349	25	12	0	2	8.617300e-01	5.169874e-10
25079	26	350	1	349	25	12	0	2	1.084854e+00	4.489006e-10
25080	26	350	1	349	25	12	0	2	1.365749e+00	3.884273e-10
25081	26	350	1	349	25	12	0	2	1.719378e+00	3.348188e-10
25082	26	350	1	349	25	12	0	2	2.164568e+00	2.873494e-10
25083	26	350	1	349	25	12	0	2	2.725030e+00	2.453407e-10
25084	26	350	1	349	25	12	0	2	3.430608e+00	2.081994e-10
25085	26	350	1	349	25	12	0	2	4.318879e+00	1.754606e-10
25086	26	350	1	349	25	12	0	2	5.437151e+00	1.468116e-10
25087	26	350	1	349	25	12	0	2	6.844966e+00	1.219888e-10
25088	26	350	1	349	25	12	0	2	8.617300e+00	1.007419e-10
25089	26	350	1	349	25	12	0	2	1.084854e+01	8.275609e-11
25090	26	350	1	349	25	12	0	2	1.365749e+01	6.768612e-11
25091	26	350	1	349	25	12	0	2	1.719378e+01	5.514421e-11
25092	26	350	1	349	25	12	0	2	2.164568e+01	4.478166e-11
25093	26	350	1	349	25	12	0	2	2.725030e+01	3.626601e-11
25094	26	350	1	349	25	12	0	2	3.430608e+01	2.928198e-11
25095	26	350	1	349	25	12	0	2	4.318879e+01	2.356677e-11
25096	26	350	1	349	25	12	0	2	5.437151e+01	1.891037e-11
25097	26	350	1	349	25	12	0	2	6.844966e+01	1.511818e-11
25098	26	350	1	349	25	12	0	2	8.617300e+01	1.204481e-11
25099	26	350	1	349	25	12	0	2	1.084854e+02	9.556524e-12
25100	26	350	1	349	25	12	0	2	1.365749e+02	7.550927e-12
25101	26	350	1	349	25	12	0	2	1.719378e+02	5.940184e-12
25102	26	350	1	349	25	12	0	2	2.164568e+02	4.652644e-12
25103	26	350	1	349	25	12	0	2	2.725030e+02	3.626601e-12
25104	26	350	1	349	25	12	0	2	3.430608e+02	2.814492e-12
25105	26	350	1	349	25	12	0	2	4.318879e+02	2.174705e-12
25106	26	350	1	349	25	12	0	2	5.437151e+02	1.676485e-12
25107	26	350	1	349	25	12	0	2	6.844966e+02	1.298672e-12
25108	26	350	1	349	25	12	0	2	8.617300e+02	1.031098e-12
25109	26	350	1	349	25	12	0	2	1.084854e+03	8.675612e-13
25110	26	350	1	349	25	12	0	2	1.365749e+03	7.939631e-13
25111	26	350	1	349	25	12	0	2	1.719378e+03	7.807283e-13
25112	26	350	1	349	25	12	0	2	2.164568e+03	7.904959e-13
25113	26	350	1	349	25	12	0	2	2.725030e+03	7.908605e-13
25114	26	350	1	349	25	12	0	2	3.430608e+03	7.631323e-13
25115	26	350	1	349	25	12	0	2	4.318879e+03	7.045315e-13
25116	26	350	1	349	25	12	0	2	5.437151e+03	6.230177e-13
