	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
16851	26	345	726	346	1	12	0	2	0.000000e+00	4.606000e-01
16852	26	345	726	346	1	12	0	2	1.842130e+02	3.313000e-01
16853	26	345	726	346	1	12	0	2	3.984180e+02	2.382000e-01
16854	26	345	726	346	1	12	0	2	6.461690e+02	1.716000e-01
16855	26	345	726	346	1	12	0	2	9.335020e+02	1.237000e-01
16856	26	345	726	346	1	12	0	2	1.268710e+03	8.906000e-02
16857	26	345	726	346	1	12	0	2	1.655630e+03	6.426000e-02
16858	26	345	726	346	1	12	0	2	2.109980e+03	4.621000e-02
16859	26	345	726	346	1	12	0	2	2.635030e+03	3.330000e-02
16860	26	345	726	346	1	12	0	2	3.246560e+03	2.398000e-02
16861	26	345	726	346	1	12	0	2	3.959690e+03	1.725000e-02
16862	26	345	726	346	1	12	0	2	4.780810e+03	1.245000e-02
16863	26	345	726	346	1	12	0	2	5.733390e+03	8.983000e-03
16864	26	345	726	346	1	12	0	2	6.852560e+03	6.458000e-03
16865	26	345	726	346	1	12	0	2	8.135160e+03	4.663000e-03
16866	26	345	726	346	1	12	0	2	9.625310e+03	3.364000e-03
16867	26	345	726	346	1	12	0	2	1.135010e+04	2.428000e-03
16868	26	345	726	346	1	12	0	2	1.333890e+04	1.754000e-03
16869	26	345	726	346	1	12	0	2	1.470560e+04	1.438000e-03
16870	26	345	726	346	1	12	0	2	1.470810e+05	7.950000e-06
16871	26	345	726	346	1	12	0	2	1.470840e+06	1.284000e-08
