	Z	Ion	Initial Level	Final Level	Temperature	Rate
21077	27	351	32	30	6.760049e+05	8.558060e+00
21078	27	351	32	30	6.760049e+06	8.762580e+00
21079	27	351	32	30	6.760049e+07	8.787570e+00
21080	27	351	32	31	6.760049e+05	8.705880e+00
21081	27	351	32	31	6.760049e+06	8.775100e+00
21082	27	351	32	31	6.760049e+07	8.762100e+00
21083	27	351	32	27	6.760049e+05	7.259500e+00
21084	27	351	32	27	6.760049e+06	7.945770e+00
21085	27	351	32	27	6.760049e+07	8.480550e+00
21086	27	351	32	26	6.760049e+05	6.156400e+00
21087	27	351	32	26	6.760049e+06	6.892690e+00
21088	27	351	32	26	6.760049e+07	7.439980e+00
21089	27	351	32	1	6.760049e+05	8.246360e+00
21090	27	351	32	1	6.760049e+06	8.982750e+00
21091	27	351	32	1	6.760049e+07	9.530110e+00
21092	27	351	32	20	6.760049e+05	7.967910e+00
21093	27	351	32	20	6.760049e+06	8.467520e+00
21094	27	351	32	20	6.760049e+07	8.656160e+00
21095	27	351	32	21	6.760049e+05	7.967910e+00
21096	27	351	32	21	6.760049e+06	8.467520e+00
21097	27	351	32	21	6.760049e+07	8.656160e+00
21098	27	351	32	22	6.760049e+05	8.377740e+00
21099	27	351	32	22	6.760049e+06	8.728170e+00
21100	27	351	32	22	6.760049e+07	8.814710e+00
21101	27	351	32	23	6.760049e+05	8.377740e+00
21102	27	351	32	23	6.760049e+06	8.728170e+00
21103	27	351	32	23	6.760049e+07	8.814710e+00
21104	27	351	32	29	6.760049e+05	8.233480e+00
21105	27	351	32	29	6.760049e+06	8.586110e+00
21106	27	351	32	29	6.760049e+07	8.675010e+00
21107	27	351	32	13	6.760049e+05	8.190400e+00
21108	27	351	32	13	6.760049e+06	8.689080e+00
21109	27	351	32	13	6.760049e+07	8.875150e+00
21110	27	351	32	14	6.760049e+05	8.190400e+00
21111	27	351	32	14	6.760049e+06	8.689080e+00
21112	27	351	32	14	6.760049e+07	8.875150e+00
21113	27	351	32	19	6.760049e+05	6.358850e+00
21114	27	351	32	19	6.760049e+06	7.095200e+00
21115	27	351	32	19	6.760049e+07	7.642540e+00
21116	27	351	32	5	6.760049e+05	7.986130e+00
21117	27	351	32	5	6.760049e+06	8.646160e+00
21118	27	351	32	5	6.760049e+07	9.096630e+00
21119	27	351	32	6	6.760049e+05	7.986130e+00
21120	27	351	32	6	6.760049e+06	8.646160e+00
21121	27	351	32	6	6.760049e+07	9.096630e+00
21122	27	351	32	10	6.760049e+05	7.683450e+00
21123	27	351	32	10	6.760049e+06	8.353120e+00
21124	27	351	32	10	6.760049e+07	8.837300e+00
21125	27	351	32	11	6.760049e+05	7.683450e+00
21126	27	351	32	11	6.760049e+06	8.353120e+00
21127	27	351	32	11	6.760049e+07	8.837300e+00
21128	27	351	32	12	6.760049e+05	6.608420e+00
21129	27	351	32	12	6.760049e+06	7.344720e+00
21130	27	351	32	12	6.760049e+07	7.892050e+00
21131	27	351	32	17	6.760049e+05	7.449490e+00
21132	27	351	32	17	6.760049e+06	8.127730e+00
21133	27	351	32	17	6.760049e+07	8.639060e+00
21134	27	351	32	18	6.760049e+05	7.449490e+00
21135	27	351	32	18	6.760049e+06	8.127730e+00
21136	27	351	32	18	6.760049e+07	8.639060e+00
21137	27	351	32	4	6.760049e+05	7.410420e+00
21138	27	351	32	4	6.760049e+06	8.146750e+00
21139	27	351	32	4	6.760049e+07	8.694080e+00
21140	27	351	32	8	6.760049e+05	8.402450e+00
21141	27	351	32	8	6.760049e+06	8.900410e+00
21142	27	351	32	8	6.760049e+07	9.084440e+00
21143	27	351	32	9	6.760049e+05	8.402450e+00
21144	27	351	32	9	6.760049e+06	8.900410e+00
21145	27	351	32	9	6.760049e+07	9.084440e+00
21146	27	351	32	7	6.760049e+05	6.936740e+00
21147	27	351	32	7	6.760049e+06	7.673040e+00
21148	27	351	32	7	6.760049e+07	8.220350e+00
21149	27	351	32	2	6.760049e+05	8.389540e+00
21150	27	351	32	2	6.760049e+06	9.038570e+00
21151	27	351	32	2	6.760049e+07	9.445750e+00
21152	27	351	32	3	6.760049e+05	8.389540e+00
21153	27	351	32	3	6.760049e+06	9.038570e+00
21154	27	351	32	3	6.760049e+07	9.445750e+00
21155	27	351	32	15	6.760049e+05	8.442340e+00
21156	27	351	32	15	6.760049e+06	8.791580e+00
21157	27	351	32	15	6.760049e+07	8.876650e+00
21158	27	351	32	16	6.760049e+05	8.442340e+00
21159	27	351	32	16	6.760049e+06	8.791580e+00
21160	27	351	32	16	6.760049e+07	8.876650e+00
21161	27	351	32	24	6.760049e+05	8.522090e+00
21162	27	351	32	24	6.760049e+06	8.724230e+00
21163	27	351	32	24	6.760049e+07	8.748030e+00
21164	27	351	32	25	6.760049e+05	8.522090e+00
21165	27	351	32	25	6.760049e+06	8.724230e+00
21166	27	351	32	25	6.760049e+07	8.748030e+00
21167	27	351	32	28	6.760049e+05	7.764030e+00
21168	27	351	32	28	6.760049e+06	8.265020e+00
21169	27	351	32	28	6.760049e+07	8.457000e+00
