	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
23347	26	329	1	328	25	12	0	2	8.621738e-04	5.903915e-10
23348	26	329	1	328	25	12	0	2	1.085413e-03	4.967528e-10
23349	26	329	1	328	25	12	0	2	1.366454e-03	4.179646e-10
23350	26	329	1	328	25	12	0	2	1.720263e-03	3.516736e-10
23351	26	329	1	328	25	12	0	2	2.165683e-03	2.958966e-10
23352	26	329	1	328	25	12	0	2	2.726433e-03	2.489660e-10
23353	26	329	1	328	25	12	0	2	3.432376e-03	2.094932e-10
23354	26	329	1	328	25	12	0	2	4.321105e-03	1.766607e-10
23355	26	329	1	328	25	12	0	2	5.439948e-03	1.532815e-10
23356	26	329	1	328	25	12	0	2	6.848490e-03	1.586062e-10
23357	26	329	1	328	25	12	0	2	8.621738e-03	2.492757e-10
23358	26	329	1	328	25	12	0	2	1.085412e-02	5.137000e-10
23359	26	329	1	328	25	12	0	2	1.366454e-02	1.009485e-09
23360	26	329	1	328	25	12	0	2	1.720263e-02	1.691260e-09
23361	26	329	1	328	25	12	0	2	2.165683e-02	2.411906e-09
23362	26	329	1	328	25	12	0	2	2.726433e-02	3.005454e-09
23363	26	329	1	328	25	12	0	2	3.432375e-02	3.380413e-09
23364	26	329	1	328	25	12	0	2	4.321105e-02	3.549359e-09
23365	26	329	1	328	25	12	0	2	5.439948e-02	3.582859e-09
23366	26	329	1	328	25	12	0	2	6.848491e-02	3.540951e-09
23367	26	329	1	328	25	12	0	2	8.621738e-02	3.446674e-09
23368	26	329	1	328	25	12	0	2	1.085412e-01	3.303086e-09
23369	26	329	1	328	25	12	0	2	1.366454e-01	3.116018e-09
23370	26	329	1	328	25	12	0	2	1.720263e-01	2.895543e-09
23371	26	329	1	328	25	12	0	2	2.165683e-01	2.648380e-09
23372	26	329	1	328	25	12	0	2	2.726433e-01	2.376952e-09
23373	26	329	1	328	25	12	0	2	3.432375e-01	2.085930e-09
23374	26	329	1	328	25	12	0	2	4.321105e-01	1.786734e-09
23375	26	329	1	328	25	12	0	2	5.439948e-01	1.497374e-09
23376	26	329	1	328	25	12	0	2	6.848491e-01	1.236602e-09
23377	26	329	1	328	25	12	0	2	8.621738e-01	1.017021e-09
23378	26	329	1	328	25	12	0	2	1.085412e+00	8.424623e-10
23379	26	329	1	328	25	12	0	2	1.366453e+00	7.108860e-10
23380	26	329	1	328	25	12	0	2	1.720264e+00	6.189133e-10
23381	26	329	1	328	25	12	0	2	2.165683e+00	5.639105e-10
23382	26	329	1	328	25	12	0	2	2.726433e+00	5.425251e-10
23383	26	329	1	328	25	12	0	2	3.432375e+00	5.470411e-10
23384	26	329	1	328	25	12	0	2	4.321103e+00	5.633647e-10
23385	26	329	1	328	25	12	0	2	5.439951e+00	5.745400e-10
23386	26	329	1	328	25	12	0	2	6.848491e+00	5.673224e-10
23387	26	329	1	328	25	12	0	2	8.621738e+00	5.365750e-10
23388	26	329	1	328	25	12	0	2	1.085412e+01	4.851434e-10
23389	26	329	1	328	25	12	0	2	1.366453e+01	4.205230e-10
23390	26	329	1	328	25	12	0	2	1.720264e+01	3.511882e-10
23391	26	329	1	328	25	12	0	2	2.165683e+01	2.841386e-10
23392	26	329	1	328	25	12	0	2	2.726433e+01	2.238772e-10
23393	26	329	1	328	25	12	0	2	3.432375e+01	1.725878e-10
23394	26	329	1	328	25	12	0	2	4.321103e+01	1.306952e-10
23395	26	329	1	328	25	12	0	2	5.439951e+01	9.754379e-11
23396	26	329	1	328	25	12	0	2	6.848491e+01	7.194496e-11
23397	26	329	1	328	25	12	0	2	8.621738e+01	5.256544e-11
23398	26	329	1	328	25	12	0	2	1.085412e+02	3.811540e-11
23399	26	329	1	328	25	12	0	2	1.366453e+02	2.746628e-11
23400	26	329	1	328	25	12	0	2	1.720264e+02	1.969246e-11
23401	26	329	1	328	25	12	0	2	2.165683e+02	1.406047e-11
23402	26	329	1	328	25	12	0	2	2.726433e+02	1.000692e-11
23403	26	329	1	328	25	12	0	2	3.432375e+02	7.103944e-12
23404	26	329	1	328	25	12	0	2	4.321103e+02	5.031532e-12
23405	26	329	1	328	25	12	0	2	5.439951e+02	3.557951e-12
23406	26	329	1	328	25	12	0	2	6.848491e+02	2.511884e-12
23407	26	329	1	328	25	12	0	2	8.621738e+02	1.770926e-12
23408	26	329	1	328	25	12	0	2	1.085412e+03	1.247383e-12
23409	26	329	1	328	25	12	0	2	1.366453e+03	8.778097e-13
23410	26	329	1	328	25	12	0	2	1.720264e+03	6.171625e-13
23411	26	329	1	328	25	12	0	2	2.165683e+03	4.337109e-13
23412	26	329	1	328	25	12	0	2	2.726433e+03	3.045789e-13
23413	26	329	1	328	25	12	0	2	3.432375e+03	2.137962e-13
23414	26	329	1	328	25	12	0	2	4.321103e+03	1.500029e-13
23415	26	329	1	328	25	12	0	2	5.439951e+03	1.052205e-13
23416	26	329	1	328	25	12	0	2	6.848491e+03	7.380744e-14
23417	26	329	1	328	25	12	0	2	8.621738e+03	5.177259e-14
23418	26	329	1	328	25	12	0	2	1.085413e+04	3.634126e-14
23419	26	329	1	328	25	12	0	2	1.366453e+04	2.555054e-14
23420	26	329	1	328	25	12	0	2	1.720264e+04	1.800527e-14
23421	26	329	1	328	25	12	0	2	2.165681e+04	1.273211e-14
23422	26	329	1	328	25	12	0	2	2.726433e+04	9.048992e-15
23423	26	329	1	328	25	12	0	2	3.432379e+04	6.468441e-15
23424	26	329	1	328	25	12	0	2	4.321103e+04	4.658001e-15
23425	26	329	1	328	25	12	0	2	5.439951e+04	3.379871e-15
23426	26	329	1	328	25	12	0	2	6.848484e+04	2.474003e-15
23427	26	329	1	328	25	12	0	2	8.621738e+04	1.826415e-15
